node_type_id model_type model_template model_processing dynamics_params morphology_file rotation_angle_zaxis pop_name location ei
313862022 biophysical ctdb:Biophys1.hoc aibs_perisomatic_directed 313862022_fit.json Scnn1a-Tg2-Cre_Ai14-167081.03.02.01_321549626_m_Dendrite.swc 0 Scnn1a VisL4 e
314900022 biophysical ctdb:Biophys1.hoc aibs_perisomatic_directed 314900022_fit.json Scnn1a-Tg3-Cre_Ai14-168093.03.01.01_491770152_m.swc 0 Scnn1a VisL4 e
314831019 biophysical ctdb:Biophys1.hoc aibs_perisomatic_directed 314831019_fit.json Scnn1a-Tg3-Cre_Ai14-168093.03.02.01_491119592_m.swc 0 Scnn1a VisL4 e
476218657 biophysical ctdb:Biophys1.hoc aibs_perisomatic_directed 476218657_fit.json Scnn1a-Tg3-Cre_Ai14_IVSCC_-187852.04.02.01_484775243_m.swc 0 Scnn1a VisL4 e
468120757 biophysical ctdb:Biophys1.hoc aibs_perisomatic_directed 468120757_fit.json Scnn1a-Tg3-Cre_Ai14-177297.05.02.01_495335458_m.swc 0 Scnn1a VisL4 e
320207387 biophysical ctdb:Biophys1.hoc aibs_perisomatic_directed 320207387_fit.json Scnn1a-Tg3-Cre_Ai14-170426.03.01.01_491392845_m.swc 0 Scnn1a VisL4 e
468193142 biophysical ctdb:Biophys1.hoc aibs_perisomatic_directed 468193142_fit.json Scnn1a-Tg3-Cre_Ai14-177297.06.01.01_491120155_m.swc 0 Scnn1a VisL4 e
395830185 biophysical ctdb:Biophys1.hoc aibs_perisomatic_directed 395830185_fit.json Scnn1a-Tg3-Cre_Ai14-177300.01.02.01_491771068_m.swc 0 Scnn1a VisL4 e
354190013 biophysical ctdb:Biophys1.hoc aibs_perisomatic_directed 354190013_fit.json Scnn1a-Tg2-Cre_Ai14-176962.05.01.01_495335447_m.swc 0 Scnn1a VisL4 e
485574832 biophysical ctdb:Biophys1.hoc aibs_perisomatic_directed 485574832_fit.json Rbp4-Cre_KL100_Ai14-203498.04.02.01_496001061_m.swc 0 Rbp4 VisL4 e
480353286 biophysical ctdb:Biophys1.hoc aibs_perisomatic_directed 480353286_fit.json Rorb-IRES2-Cre-D_Ai14-197851.05.02.01_492413372_m.swc 0 Rorb VisL4 e
480169178 biophysical ctdb:Biophys1.hoc aibs_perisomatic_directed 480169178_fit.json Rorb-IRES2-Cre-D_Ai14-197353.06.02.01_496079587_m.swc 0 Rorb VisL4 e
477135941 biophysical ctdb:Biophys1.hoc aibs_perisomatic_directed 477135941_fit.json Slc17a6-IRES-Cre_Ai14-190263.06.01.01_491771398_m.swc 0 Slc17a6 VisL4 e
476457450 biophysical ctdb:Biophys1.hoc aibs_perisomatic_directed 476457450_fit.json Nr5a1-Cre_Ai14-187780.03.02.01_491253858_m.swc 0 Nr5a1 VisL4 e
476048909 biophysical ctdb:Biophys1.hoc aibs_perisomatic_directed 476048909_fit.json Rorb-IRES2-Cre-D_Ai14-187416.05.01.01_491796267_m.swc 0 Rorb VisL4 e
471819401 biophysical ctdb:Biophys1.hoc aibs_perisomatic_directed 471819401_fit.json Ntsr1-Cre_Ai14-181184.02.02.01_491771181_m.swc 0 Ntsr1 VisL4 e
386049446 biophysical ctdb:Biophys1.hoc aibs_perisomatic_directed 386049446_fit.json Nr5a1-Cre_Ai14-177334.05.01.01_491459171_m.swc 0 Nr5a1 VisL4 e
318808427 biophysical ctdb:Biophys1.hoc aibs_perisomatic_directed 318808427_fit.json Nr5a1-Cre_Ai14-169250.03.02.01_491119754_m.swc 0 Nr5a1 VisL4 e
314642645 biophysical ctdb:Biophys1.hoc aibs_perisomatic_directed 314642645_fit.json Rorb-IRES2-Cre-D_Ai14-168052.03.02.01_491770140_m.swc 0 Rorb VisL4 e
485836906 biophysical ctdb:Biophys1.hoc aibs_perisomatic_directed 485836906_fit.json Rorb-IRES2-Cre-D_Ai14-204764.04.01.01_496001039_m.swc 0 Rorb VisL4 e
480351780 biophysical ctdb:Biophys1.hoc aibs_perisomatic_directed 480351780_fit.json Rorb-IRES2-Cre-D_Ai14-197851.04.01.01_491770985_m.swc 0 Rorb VisL4 e
479179020 biophysical ctdb:Biophys1.hoc aibs_perisomatic_directed 479179020_fit.json Rorb-IRES2-Cre-D_Ai14-194017.03.01.01_491770945_m.swc 0 Rorb VisL4 e
477127614 biophysical ctdb:Biophys1.hoc aibs_perisomatic_directed 477127614_fit.json Slc17a6-IRES-Cre_Ai14-190263.04.01.01_491392956_m.swc 0 Slc17a6 VisL4 e
478499902 biophysical ctdb:Biophys1.hoc aibs_perisomatic_directed 478499902_fit.json Rorb-IRES2-Cre-D_Ai14-192794.05.01.01_492413653_m.swc 0 Rorb VisL4 e
473020156 biophysical ctdb:Biophys1.hoc aibs_perisomatic_directed 473020156_fit.json Rorb-IRES2-Cre-D_Ai14-181710.05.02.01_491771275_m.swc 0 Rorb VisL4 e
471129934 biophysical ctdb:Biophys1.hoc aibs_perisomatic_directed 471129934_fit.json Rbp4-Cre_KL100_Ai14-180747.06.01.01_495335491_m.swc 0 Rbp4 VisL4 e
422738880 biophysical ctdb:Biophys1.hoc aibs_perisomatic_directed 422738880_fit.json Nr5a1-Cre_Ai14-178521.04.02.01_492100683_m.swc 0 Nr5a1 VisL4 e
382982932 biophysical ctdb:Biophys1.hoc aibs_perisomatic_directed 382982932_fit.json Nr5a1-Cre_Ai14-177333.03.01.01_491771090_m.swc 0 Nr5a1 VisL4 e
314822529 biophysical ctdb:Biophys1.hoc aibs_perisomatic_directed 314822529_fit.json Rorb-IRES2-Cre-D_Ai14-168053.06.01.01_495334938_m.swc 0 Rorb VisL4 e
478110866 biophysical ctdb:Biophys1.hoc aibs_perisomatic_directed 478110866_fit.json Htr3a-Cre_NO152_Ai14-192821.05.01.01_491771409_m.swc 0 Htr3a VisL4 e
