edge_type_id target_query source_query delay dynamics_params model_template weight_function
0 level_of_detail=='biophysical'&ei=='i' ei=='i' 2.0 InhToInh.json static_synapse gaussianLL
1 level_of_detail=='intfire'&ei=='i' ei=='i' 2.0 instanteneousInh.json static_synapse NONE
2 level_of_detail=='biophysical'&ei=='e' ei=='i' 2.0 InhToExc.json static_synapse NONE
3 level_of_detail=='intfire'&ei=='e' ei=='i' 2.0 instanteneousInh.json static_synapse NONE
4 pop_name=='PV1' ei=='e' 2.0 ExcToInh.json static_synapse NONE
5 pop_name=='PV2' ei=='e' 2.0 ExcToInh.json static_synapse NONE
6 pop_name=='LIF_inh' ei=='e' 2.0 instanteneousExc.json static_synapse NONE
7 pop_name=='Scnn1a' ei=='e' 2.0 ExcToExc.json static_synapse NONE
8 pop_name=='Rorb' ei=='e' 2.0 ExcToExc.json static_synapse NONE
9 pop_name=='Nr5a1' ei=='e' 2.0 ExcToExc.json static_synapse NONE
10 pop_name=='LIF_exc' ei=='e' 2.0 instanteneousExc.json static_synapse NONE
