node_ids unit_ids population start_times stop_times
0 951108382 VISl 16862.0 19862.0
1 951108486 VISl 29062.0 32062.0
2 951108494 VISl 46356.0 49356.0
3 951108540 VISl 47296.0 50296.0
4 951108531 VISl 47189.0 50189.0
5 951108557 VISl 23390.0 26390.0
6 951108607 VISl 19024.0 22024.0
7 951108633 VISl 31801.0 34801.0
8 951108641 VISl 54536.0 57536.0
9 951108651 VISl 11714.0 14714.0
10 951108685 VISl 48368.0 51368.0
11 951108721 VISl 12414.0 15414.0
12 951108746 VISl 19192.0 22192.0
13 951108755 VISl 57275.0 60275.0
14 951108764 VISl 31699.0 34699.0
15 951108850 VISl 37854.0 40854.0
16 951108928 VISl 34559.0 37559.0
17 951110003 VISl 56371.0 59371.0
18 951108858 VISl 11907.0 14907.0
19 951108867 VISl 36718.0 39718.0
20 951108877 VISl 40770.0 43770.0
21 951108901 VISl 41529.0 44529.0
22 951108911 VISl 27801.0 30801.0
23 951108953 VISl 47467.0 50467.0
24 951108938 VISl 53058.0 56058.0
25 951108996 VISl 12335.0 15335.0
26 951109006 VISl 33484.0 36484.0
27 951108972 VISl 18924.0 21924.0
28 951110022 VISl 27501.0 30501.0
29 951109037 VISl 57861.0 60861.0
30 951109053 VISl 16120.0 19120.0
31 951109061 VISl 16266.0 19266.0
32 951109069 VISl 42505.0 45505.0
33 951110032 VISl 31410.0 34410.0
34 951110182 VISl 26038.0 29038.0
35 951109103 VISl 30905.0 33905.0
36 951110056 VISl 25700.0 28700.0
37 951109118 VISl 44758.0 47758.0
38 951109213 VISl 55026.0 58026.0
39 951109137 VISl 41175.0 44175.0
40 951109146 VISl 42087.0 45087.0
41 951109184 VISl 35803.0 38803.0
42 951109191 VISl 49802.0 52802.0
43 951109223 VISl 30630.0 33630.0
44 951109242 VISl 41003.0 44003.0
45 951109253 VISl 33344.0 36344.0
46 951109262 VISl 13609.0 16609.0
47 951109282 VISl 26435.0 29435.0
48 951109291 VISl 42685.0 45685.0
49 951109299 VISl 42018.0 45018.0
50 951109307 VISl 22665.0 25665.0
51 951109357 VISl 35000.0 38000.0
52 951109380 VISl 54217.0 57217.0
53 951109319 VISl 48650.0 51650.0
54 951109329 VISl 55142.0 58142.0
55 951109338 VISl 19361.0 22361.0
56 951110067 VISl 19084.0 22084.0
57 951110208 VISl 24327.0 27327.0
58 951109399 VISl 53331.0 56331.0
59 951109410 VISl 54260.0 57260.0
60 951109447 VISl 39018.0 42018.0
61 951109456 VISl 41400.0 44400.0
62 951109469 VISl 59846.0 62846.0
63 951109494 VISl 25456.0 28456.0
64 951110080 VISl 45441.0 48441.0
65 951109423 VISl 53323.0 56323.0
66 951109435 VISl 38251.0 41251.0
67 951109506 VISl 48804.0 51804.0
68 951109518 VISl 49531.0 52531.0
69 951110094 VISl 36037.0 39037.0
70 951109572 VISl 28399.0 31399.0
71 951109586 VISl 11279.0 14279.0
72 951109594 VISl 50144.0 53144.0
73 951109637 VISl 50528.0 53528.0
74 951109682 VISl 57894.0 60894.0
75 951109702 VISl 22385.0 25385.0
76 951109787 VISl 25912.0 28912.0
77 951110251 VISl 17862.0 20862.0
