gid spike-times
0 43.1551580465,64.6936252553,204.361972241,215.263541486,299.919509136,401.176352442,454.53579683,477.147526245,561.795318503,671.634406285,707.731469845,847.466732207,868.361913846,946.13285932,1062.87184541,1144.14240527,1295.40247452,1369.03451297,1376.26666836,1425.29932853,1520.13641365,1553.08323964,1629.0870456,1759.86303039,1855.95347108,1904.12956432,1955.06970706,2087.24269103,2197.42488987,2219.63627347,2300.25299749,2331.77535107,2446.47740961,2586.21991351,2619.56551591,2700.01481839,2782.18320007,2950.46232486,2999.9229245
1 56.0622460603,194.701257611,294.447271556,297.760936942,403.896338929,444.845209007,498.706201843,537.396107052,635.329982411,677.303784942,754.72852308,855.166817957,863.359358138,1019.6899961,1049.23330051,1116.69943585,1130.94059451,1146.69524467,1230.83947425,1292.1411585,1293.71929168,1351.11211792,1378.25787951,1410.61762385,1471.46588327,1509.4598565,1628.07132479,1719.36556528,1834.12437191,1907.16731101,1937.31932807,2039.22563645,2272.20960441,2380.22068267,2439.88837648,2526.48302379,2552.14184637,2622.84724615,2653.58930651,2698.95705703,2745.17178111,2815.74115623,2979.37530448,2999.36299258
2 65.5775202783,91.674454988,174.62534922,254.825254624,315.077091821,454.533818941,505.831274431,642.677441768,720.191956717,804.554217681,931.37384201,992.946391276,1079.34163883,1134.20838235,1310.4901397,1339.37300933,1559.5388507,1680.76738226,1791.61710754,1813.62413985,1813.6288268,1925.75365082,2088.10237726,2137.04109601,2252.37144755,2360.76630183,2501.19314782,2551.23992775,2571.3784345,2572.06200657,2680.72558955,2708.83838574,2839.62610694,2899.52411114,2904.36900265
3 114.05478478,158.302405787,248.553931734,284.381120061,293.836914721,386.273700048,476.810722011,482.916108344,494.770216622,593.177973146,649.181364607,678.441232704,700.324251629,775.742036869,783.899356762,914.723612685,942.079222882,970.28855766,1052.31891136,1061.55308037,1149.89939309,1208.47125568,1284.23406408,1325.16665191,1383.33282318,1494.28630293,1623.45200999,1659.89885204,1690.77623424,1761.21831821,1899.0861696,1952.76751243,2044.43671248,2092.88077021,2279.73353392,2404.35894348,2427.82298627,2485.24639356,2557.06795741,2647.02650826,2775.44572455,2862.65692696
4 55.8390512698,102.122778619,176.829930774,249.645181102,333.082096924,345.575306151,446.796966486,446.99356031,547.702855815,665.134855497,689.392142398,719.389806575,761.882240116,942.500847725,989.310192876,1086.42309165,1121.29053682,1144.66157977,1145.90083321,1302.82136958,1314.60698575,1401.57724344,1462.98320811,1602.34289732,1670.78160081,1794.51733076,1795.39705272,1892.02691954,1980.41005093,2118.21522637,2208.0711883,2274.28370423,2356.01150739,2389.64759456,2429.13586474,2537.21048663,2663.77669206,2751.59794784,2812.13896781,2865.53338776,2874.62553522,2898.5609539
5 200.298653474,220.273751647,322.981279071,457.445472626,512.226202626,669.017427775,788.012408668,872.28206113,975.414507728,1005.80574608,1108.0542654,1148.91672615,1204.14540552,1255.14794535,1276.40905019,1366.71771533,1411.44885303,1478.49712103,1550.78376337,1683.07555681,1773.85422433,1810.15746568,1879.48651799,1893.08762016,2001.22466097,2067.32174467,2142.67042884,2304.53351852,2373.8196105,2476.20757786,2632.20275183,2759.97459349,2845.55205725
6 80.2563105627,102.408368462,109.526510933,228.585250311,263.805533504,285.311750676,359.130916935,418.821061566,486.991196124,526.709963211,622.050694581,798.359163423,823.214937441,863.911489263,887.635936785,930.32132988,1027.43504316,1058.15633433,1101.17654751,1210.5991363,1287.86436592,1358.39219642,1450.31685451,1548.47445859,1602.94108703,1626.10611575,1737.04740542,1914.14235137,2014.53009305,2083.7102025,2109.43186232,2146.22706358,2164.5417485,2273.93214287,2392.07880842,2397.37711786,2573.32118974,2696.85259918,2756.24099262,2825.38720378,2918.32432771
7 102.086772278,229.247689292,338.817028872,366.755519934,384.486673844,459.031386122,575.476229271,693.241671435,724.427459679,826.784478947,930.2618606,1025.09549562,1092.79517303,1231.60801871,1242.19955572,1319.00094732,1512.35968799,1601.81579999,1721.6990921,1796.24445165,1862.38347444,1927.7312871,2011.69488897,2126.24391075,2239.11565375,2264.73597821,2367.47488892,2452.45566978,2598.27962385,2680.22861146,2718.81314026,2770.45620788,2924.91260574,2969.83054384
8 152.728986238,180.403484256,321.280714163,396.614160953,409.402115077,468.604971054,571.451628351,596.120947705,685.705770681,750.198281386,779.82732382,798.673913924,846.176821612,902.050103298,980.656374798,1030.67795797,1096.83464295,1113.4481669,1169.46406064,1293.23122109,1304.26553893,1355.31759955,1419.55487834,1534.72200205,1568.48281166,1742.99481562,1860.28979828,1897.72749158,1991.76846076,2069.18798263,2192.86965393,2259.25304107,2367.81865348,2497.36235621,2632.15638054,2757.93961802,2852.14867545,2872.77612794,2914.9464887,2974.43638432
9 33.7248236414,157.837971634,275.363663356,319.447858965,450.89212531,537.611092979,625.558697538,738.052823013,765.978996777,822.004544966,984.228228391,997.8380809,1042.68377807,1129.06012304,1229.99272097,1281.73650094,1342.29106121,1364.88460793,1453.33792954,1578.71257917,1678.04674785,1778.87634139,1934.77307468,1971.11403212,2026.57790707,2059.93779097,2139.29079157,2294.54033944,2323.20849573,2506.71563792,2568.20556854,2615.75369444,2623.87121889,2643.46570984,2657.25663458,2731.81313883,2781.29101533,2849.87295992,2905.23298579
