edge_type_id target_query source_query syn_weight
100 pop_name=='Exc' pop_name=='Exc' 0.03254001451444043
101 pop_name=='PV' pop_name=='Exc' 0.04043037008531871
102 pop_name=='SST' pop_name=='Exc' 0.07409100928480848
103 pop_name=='VIP' pop_name=='Exc' 0.054303329629300665
104 pop_name=='Exc' pop_name=='PV' -0.009474168446121
105 pop_name=='PV' pop_name=='PV' -0.012340758965220145
106 pop_name=='SST' pop_name=='PV' -0.004968130875715394
107 pop_name=='VIP' pop_name=='PV' 0.0
108 pop_name=='Exc' pop_name=='SST' -0.0012015183714519876
109 pop_name=='PV' pop_name=='SST' -0.0027147606180200666
110 pop_name=='SST' pop_name=='SST' -0.0006133357343662634
111 pop_name=='VIP' pop_name=='SST' -0.014630226522887473
112 pop_name=='Exc' pop_name=='VIP' -0.00030502812656937027
113 pop_name=='PV' pop_name=='VIP' -0.0007315848413890771
114 pop_name=='SST' pop_name=='VIP' -0.007775361823403184
115 pop_name=='VIP' pop_name=='VIP' -0.0001246269351861529
