edge_type_id target_query source_query delay weight_function syn_weight dynamics_params
100 level_of_detail=='biophysical'&ei=='i' ei=='i' 2.0 NULL 0.0002 InhToInh.json
101 level_of_detail=='intfire'&ei=='i' ei=='i' 2.0 wmax 0.00225 instanteneousInh.json
102 level_of_detail=='biophysical'&ei=='e' ei=='i' 2.0 NULL 0.00018 InhToExc.json
103 level_of_detail=='intfire'&ei=='e' ei=='i' 2.0 wmax 0.009 instanteneousInh.json
104 pop_name=='PV1' ei=='e' 2.0 NULL 0.00035 ExcToInh.json
105 pop_name=='PV2' ei=='e' 2.0 NULL 0.00027 ExcToInh.json
106 pop_name=='LIF_inh' ei=='e' 2.0 wmax 0.0043 instanteneousExc.json
107 pop_name=='Scnn1a' ei=='e' 2.0 NULL 6.4e-05 ExcToExc.json
108 pop_name=='Rorb' ei=='e' 2.0 NULL 5.5e-05 ExcToExc.json
109 pop_name=='Nr5a1' ei=='e' 2.0 NULL 7.2e-05 ExcToExc.json
110 pop_name=='LIF_exc' ei=='e' 2.0 NULL 0.0019 instanteneousExc.json
