gid spike-times
0 104.471674712,123.530266988,281.379818881,322.757120177,329.225649964,397.061790136,485.058536026,499.738178324,613.558235564,687.126133806,804.041759255,804.373905205,1000.11065232,1036.35870848,1142.92298762,1185.84515851,1274.24755745,1369.51852783,1415.59245853,1433.03407559,1521.57576051,1663.50819377,1735.63325307,1825.38254849,1973.71407951,1977.20631207,2148.30964832,2210.64905472,2323.85505546,2426.72251716,2536.20067968,2667.63944128,2740.65565989,2906.45503663
1 59.8175930094,178.287560948,265.953009541,441.361121347,545.411116664,660.456769489,714.262871719,893.844991154,1035.68593303,1172.66871631,1331.32521273,1439.41680633,1559.42085887,1652.78349054,1721.18123698,1839.05849567,1995.9281141,2144.95626888,2301.74014268,2368.42799291,2522.71222459,2591.03096796,2623.32763154,2750.12599528,2866.40040742,2994.47952888
2 175.650989965,359.213698905,497.79687958,529.03078107,671.839781946,994.112976352,1178.19692917,1203.79050126,1238.25629819,1324.55822388,1326.74147696,1405.66306632,1609.61872024,1766.72061999,1904.8551845,2055.77288791,2178.93556638,2252.06812732,2374.61336998,2390.282249,2465.25735597,2522.81955138,2604.40801573,2731.75496186,2860.68592907,2967.16156336
3 209.396390524,324.313909412,457.628646597,468.616276303,518.513403244,547.598738113,627.8781845,793.71263058,853.407547968,908.337867202,1012.31259852,1193.48948443,1219.24170458,1393.72828094,1485.00403601,1603.69389089,1763.96429531,1862.89459761,1870.01854425,2043.64347683,2109.5963339,2225.42685445,2266.29438991,2284.1408502,2378.36578616,2455.55066673,2608.07955449,2616.23899922,2646.57177447,2835.09657036,2927.01285352
4 98.7146974991,118.373581809,227.397322073,396.039223709,504.302589522,590.886976469,670.771248014,812.545823598,891.033221544,1070.57060258,1113.0930657,1240.60698687,1250.50070233,1428.99583596,1483.07178466,1659.33010361,1782.646053,1915.49376502,1985.61427489,2055.94335457,2258.91010499,2346.24698675,2454.25330735,2593.57317583,2640.43506776,2665.08254374,2702.54047248,2718.20694458,2950.44098978
5 124.419340205,153.583008943,199.559743446,372.972729942,408.495203655,565.033807688,769.921732234,803.641181597,880.650319392,955.74592348,979.325424639,1048.52669906,1157.07355702,1186.22601644,1332.92087832,1374.39888354,1526.79047014,1642.40890727,1859.66974172,1963.18556888,1976.2086236,2059.04442261,2165.69216179,2321.78734936,2375.14390396,2401.82989629,2443.45201922,2530.57531865,2636.68689056,2723.4477134,2876.79001447
6 141.926904598,332.575125173,486.691331845,533.916586711,682.458831757,691.131479419,801.763967043,951.918124112,1075.19805502,1139.60584441,1301.33802402,1437.90027577,1545.32270357,1645.08496652,1820.31404677,1902.51662955,1904.15380342,2172.07929222,2272.54636382,2302.52959454,2390.78200026,2407.71890332,2560.06002581,2756.90869242,2762.07981193,2873.89766579,2956.68768861
7 93.9157212493,182.878882578,286.053763353,367.699682124,464.470776511,604.619434497,736.459001029,824.616975188,982.93341429,1137.54709933,1215.82328839,1341.47713186,1383.62727615,1505.32083587,1680.316599,1769.59255662,1814.56895844,2013.80043236,2066.21103132,2176.35946888,2345.76587526,2560.36113942,2779.07307094,2792.7027742,2929.89815144
8 21.1710113021,179.18103093,266.364798383,282.514684361,312.161171415,346.667094094,443.766726285,554.71050204,698.416828831,730.142588763,848.561152669,851.40749571,926.964986102,1066.7853013,1241.45938859,1279.96180475,1391.89997677,1449.11824844,1621.36682819,1629.09489132,1640.78983473,1848.98189931,1930.23045202,1958.57369625,2122.27121362,2213.42484426,2293.93525986,2319.42239559,2496.92193065,2520.30612728,2557.28835317,2583.75219271,2677.86636649,2828.51597009,2980.77203943
9 47.5286316692,156.495387205,182.536897678,378.247726007,487.702594885,537.33869494,620.443236356,670.170377031,754.010686273,905.468947949,1061.76676366,1091.57678288,1163.07772911,1259.70389719,1434.42390497,1561.6565062,1764.68979011,1824.14936071,1849.91481611,1959.92018837,2077.60239488,2391.91354581,2401.80843967,2605.34383366,2611.43907528,2676.94067517,2786.92333804,2842.97376994
