node_id node_type_id x y ei location
0 tON_001 149.496406774 89.0144387113 e LGN
1 tON_001 6.96125478807 55.8747185254 e LGN
2 tON_001 112.576571468 29.5887399144 e LGN
3 tON_001 67.0757678427 109.961444617 e LGN
4 tON_001 148.188604912 15.203907906 e LGN
5 tON_001 235.781066118 104.688931852 e LGN
6 tON_001 49.1470834881 112.917120131 e LGN
7 tON_001 86.6855843334 19.9147268556 e LGN
8 tON_001 0.811948649846 81.3521099457 e LGN
9 tON_001 75.7903454031 57.7462063484 e LGN
10 tON_001 179.95080535 101.385706727 e LGN
11 tON_001 2.17881283669 5.60725424387 e LGN
12 tON_001 223.117276703 113.045259531 e LGN
13 tON_001 25.9326885756 89.8077667782 e LGN
14 tON_001 21.8831674012 40.8888642605 e LGN
15 tON_001 130.834568904 37.4940443211 e LGN
16 tON_001 165.401900964 119.607217744 e LGN
17 tON_001 97.4131250951 28.4803924625 e LGN
18 tON_001 13.3697354419 109.928321813 e LGN
19 tON_001 175.59946161 113.975827515 e LGN
20 tON_001 35.8188826897 101.368067641 e LGN
21 tON_001 234.241816739 54.424798751 e LGN
22 tON_001 96.9094596538 17.5807635002 e LGN
23 tON_001 119.83738816 40.6174512328 e LGN
24 tON_001 86.7182959255 94.3227095561 e LGN
25 tON_001 87.223623203 84.5363488808 e LGN
26 tON_001 70.5244909946 113.465706414 e LGN
27 tON_001 60.1661491261 80.5971508685 e LGN
28 tON_001 83.4922819266 77.2875687589 e LGN
29 tON_001 208.778700591 82.6004348246 e LGN
30 tON_001 39.8814282393 100.394433762 e LGN
31 tON_001 175.284822136 20.6192105563 e LGN
32 tON_001 149.69690243 92.9645695094 e LGN
33 tON_001 105.856419726 78.0140476055 e LGN
34 tON_001 113.180521094 27.1491114787 e LGN
35 tON_001 46.40642443 4.27890606119 e LGN
36 tON_001 57.0831383193 108.38187877 e LGN
37 tON_001 27.6178652445 99.7644071703 e LGN
38 tON_001 130.85300716 40.7247975031 e LGN
39 tON_001 195.117564018 77.0755850122 e LGN
40 tON_001 229.73102188 116.159630239 e LGN
41 tON_001 25.90040146 67.8974416105 e LGN
42 tON_001 90.2035929487 51.8020552188 e LGN
43 tON_001 230.673383215 109.649672054 e LGN
44 tON_001 99.7180116528 38.2983058201 e LGN
45 tON_001 29.2526429773 74.602394665 e LGN
46 tON_001 3.16879119926 63.9077582005 e LGN
47 tON_001 64.2452427934 18.5718787206 e LGN
48 tON_001 154.770390743 72.4624468809 e LGN
49 tON_001 128.039500787 40.3345974805 e LGN
50 tON_001 178.804124259 70.8965636484 e LGN
51 tON_001 213.1057382 65.4710744541 e LGN
52 tON_001 169.963492072 75.868241473 e LGN
53 tON_001 204.456333017 23.5761790564 e LGN
54 tON_001 166.709156833 51.9384121139 e LGN
55 tON_001 114.81902664 65.8914407093 e LGN
56 tON_001 194.837529746 8.21031755146 e LGN
57 tON_001 6.13280177066 86.7118302846 e LGN
58 tON_001 202.095033149 26.3078531157 e LGN
59 tON_001 70.1982981666 110.159739051 e LGN
60 tON_001 149.377211117 5.22754629449 e LGN
61 tON_001 138.061369869 89.0805149661 e LGN
62 tON_001 144.052230995 58.7495714605 e LGN
63 tON_001 36.2662099039 75.761511932 e LGN
64 tON_001 63.1792135176 66.2010358891 e LGN
65 tON_001 56.2608752194 44.5456949949 e LGN
66 tON_001 20.4584054468 80.1543858969 e LGN
67 tON_001 210.46239578 57.6561516195 e LGN
68 tON_001 12.8782061009 18.0961274606 e LGN
69 tON_001 233.447391828 79.8075301869 e LGN
