population node_id timestamps firing_rates
l4e 0 0.0 2.8230175618880398
l4e 0 1.0 2.8187244469325075
l4e 0 2.0 2.8188647315943154
l4e 0 3.0 2.8120259929981746
l4e 0 4.0 2.81372505083686
l4e 0 5.0 2.804205095354405
l4e 0 6.0 2.8029058321012674
l4e 0 7.0 2.806403780160419
l4e 0 8.0 2.8036193534754124
l4e 0 9.0 2.807893675539714
l4e 0 10.0 2.810224384771153
l4e 0 11.0 2.8170495852310777
l4e 0 12.0 2.814092217340505
l4e 0 13.0 2.816265396492033
l4e 0 14.0 2.8078698669018998
l4e 0 15.0 2.8082379477598884
l4e 0 16.0 2.8151301678969007
l4e 0 17.0 2.812249944700852
l4e 0 18.0 2.8128116612136282
l4e 0 19.0 2.818503593079522
l4e 0 20.0 2.8178564657227936
l4e 0 21.0 2.8244186422973616
l4e 0 22.0 2.8235885445208977
l4e 0 23.0 2.8310818703776772
l4e 0 24.0 2.832189270211623
l4e 0 25.0 2.835478396068262
l4e 0 26.0 2.8427673386708894
l4e 0 27.0 2.8502977125732243
l4e 0 28.0 2.848756464747983
l4e 0 29.0 2.8467608260869492
l4e 0 30.0 2.852182886113394
l4e 0 31.0 2.8559829976825504
l4e 0 32.0 2.8557243632042324
l4e 0 33.0 2.8570641905344996
l4e 0 34.0 2.856849345044426
l4e 0 35.0 2.8649964519626074
l4e 0 36.0 2.87617652295673
l4e 0 37.0 2.8798440795497564
l4e 0 38.0 2.883437417849236
l4e 0 39.0 2.9066292195040777
l4e 0 40.0 2.9228449611509206
l4e 0 41.0 2.9440650486086497
l4e 0 42.0 2.983193164475274
l4e 0 43.0 3.0236087092658614
l4e 0 44.0 3.0684974689018327
l4e 0 45.0 3.1049938643057025
l4e 0 46.0 3.1589316337422826
l4e 0 47.0 3.2164610987249427
l4e 0 48.0 3.272145587397745
l4e 0 49.0 3.3429320672666787
l4e 0 50.0 3.407638334073635
l4e 0 51.0 3.488233365444207
l4e 0 52.0 3.5671866905305656
l4e 0 53.0 3.662279816338358
l4e 0 54.0 3.740180101026726
l4e 0 55.0 3.829785888629888
l4e 0 56.0 3.9050994786978968
l4e 0 57.0 3.9877819133901635
l4e 0 58.0 4.066016842246987
l4e 0 59.0 4.138523646679176
l4e 0 60.0 4.218422036649603
l4e 0 61.0 4.299916882057336
l4e 0 62.0 4.370437911911876
l4e 0 63.0 4.447145586918601
l4e 0 64.0 4.52612881316918
l4e 0 65.0 4.590531692668183
l4e 0 66.0 4.651811758936982
l4e 0 67.0 4.7286934006387815
l4e 0 68.0 4.7987536181583526
l4e 0 69.0 4.859851643503331
l4e 0 70.0 4.929969372884451
l4e 0 71.0 4.981555749882811
l4e 0 72.0 5.052709639807652
l4e 0 73.0 5.114284102298535
l4e 0 74.0 5.175245651695569
l4e 0 75.0 5.242542918806744
l4e 0 76.0 5.305138803486653
l4e 0 77.0 5.352144022700261
l4e 0 78.0 5.40690221955481
l4e 0 79.0 5.468510200806175
l4e 0 80.0 5.526874382029202
l4e 0 81.0 5.586992344379238
l4e 0 82.0 5.652445044031851
l4e 0 83.0 5.71240579935499
l4e 0 84.0 5.781034075613418
l4e 0 85.0 5.834766454607352
l4e 0 86.0 5.884368340426575
l4e 0 87.0 5.930915940179016
l4e 0 88.0 5.987117848986301
l4e 0 89.0 6.026614026408854
l4e 0 90.0 6.063254708034016
l4e 0 91.0 6.093230715143348
l4e 0 92.0 6.107265471201445
l4e 0 93.0 6.120908630497235
l4e 0 94.0 6.126085952621766
l4e 0 95.0 6.136865347194312
l4e 0 96.0 6.121379976482764
l4e 0 97.0 6.115216353345724
l4e 0 98.0 6.111132241674395
l4e 0 99.0 6.093346591886087
l4e 0 100.0 6.076976109942687
l4e 0 101.0 6.049386197747929
l4e 0 102.0 6.029878050847242
l4e 0 103.0 5.999802444968893
l4e 0 104.0 5.961301528771975
l4e 0 105.0 5.927986268422136
l4e 0 106.0 5.89803241226725
l4e 0 107.0 5.855245059591029
l4e 0 108.0 5.824912803757464
l4e 0 109.0 5.792531574926429
l4e 0 110.0 5.7620955766872095
l4e 0 111.0 5.720857781841875
l4e 0 112.0 5.690248239308012
l4e 0 113.0 5.653491996781476
l4e 0 114.0 5.626536776922436
l4e 0 115.0 5.60354176989473
l4e 0 116.0 5.580347984369572
l4e 0 117.0 5.54949061290504
l4e 0 118.0 5.515773755452599
l4e 0 119.0 5.494569404343129
l4e 0 120.0 5.461856679766642
l4e 0 121.0 5.442015401163866
l4e 0 122.0 5.410132376372715
l4e 0 123.0 5.379922694016581
l4e 0 124.0 5.354101639600509
l4e 0 125.0 5.324201321035101
l4e 0 126.0 5.291620448042642
l4e 0 127.0 5.2699234005786035
l4e 0 128.0 5.253596083292813
l4e 0 129.0 5.226761566343479
l4e 0 130.0 5.209869894407488
l4e 0 131.0 5.175248564721402
l4e 0 132.0 5.134781047631056
l4e 0 133.0 5.099679894996011
l4e 0 134.0 5.059564039758204
l4e 0 135.0 5.031482805725221
l4e 0 136.0 5.008746155248987
l4e 0 137.0 4.985097100300943
l4e 0 138.0 4.949155238544491
l4e 0 139.0 4.913974991530906
l4e 0 140.0 4.879824414335816
l4e 0 141.0 4.841078327523228
l4e 0 142.0 4.8152602001153175
