id,air_channel_index,ecephys_session_id,lfp_sampling_rate,lfp_temporal_subsampling_factor,name,phase,sampling_rate,surface_channel_index,has_lfp_data
729445648,384,719161530,2499.99728487454,2.0,probeA,3a,29999.9674184945,336,True
729445650,384,719161530,2499.99323996257,2.0,probeB,3a,29999.9188795509,344,True
729445652,384,719161530,2499.99979341437,2.0,probeC,3a,29999.9975209724,328,True
729445654,384,719161530,2499.99341356394,2.0,probeD,3a,29999.9209627673,318,True
729445656,384,719161530,2499.99995833567,2.0,probeE,3a,29999.9995000281,332,True
729445658,200,719161530,2500.00338696277,2.0,probeF,3a,30000.0406435532,150,True
733744647,384,732592105,2499.99294925668,2.0,probeB,3a,29999.9153910801,313,True
733744649,384,732592105,2499.99930538512,2.0,probeC,3a,29999.9916646214,331,True
733744651,384,732592105,2499.9930565331,2.0,probeD,3a,29999.9166783973,346,True
733744653,384,732592105,2499.99873144953,2.0,probeE,3a,29999.9847773943,329,True
733744655,384,732592105,2500.00294384402,2.0,probeF,3a,30000.0353261282,316,True
756781553,345,754312389,2499.99744975985,2.0,probeA,3a,29999.9693971182,245,True
756781555,370,754312389,2499.99312702468,2.0,probeB,3a,29999.9175242961,270,True
756781557,364,754312389,2499.99977605107,2.0,probeC,3a,29999.9973126128,264,True
756781559,319,754312389,2499.99356103423,2.0,probeD,3a,29999.9227324108,219,True
756781561,384,754312389,2499.99997569547,2.0,probeE,3a,29999.9997083456,288,True
756781563,201,754312389,2500.00335228981,2.0,probeF,3a,30000.0402274777,101,True
757904508,384,744228101,2499.996858057,2.0,probeA,3a,29999.962296684,287,True
757904510,384,744228101,2499.99257358926,2.0,probeB,3a,29999.9108830712,336,True
757904513,384,744228101,2499.9992876637,2.0,probeC,3a,29999.9914519644,314,True
757904516,384,744228101,2499.99303512745,2.0,probeD,3a,29999.9164215295,312,True
757904520,384,744228101,2499.99938907955,2.0,probeE,3a,29999.9926689546,317,True
757904522,384,744228101,2500.00291030308,2.0,probeF,3a,30000.034923637,314,True
757904545,384,750332458,2499.99739367816,2.0,probeA,3a,29999.968724138,317,True
757904547,384,750332458,2499.99318178984,2.0,probeB,3a,29999.918181478,339,True
757904550,384,750332458,2499.99970504233,2.0,probeC,3a,29999.996460508,311,True
757904554,384,750332458,2499.99353852972,2.0,probeD,3a,29999.9224623566,295,True
757904557,384,750332458,2499.99990340568,2.0,probeE,3a,29999.9988408681,316,True
757904559,384,750332458,2500.00337045193,2.0,probeF,3a,30000.0404454232,317,True
757968489,370,739448407,2499.99703006931,2.0,probeA,3a,29999.9643608317,270,True
757968491,384,739448407,2499.99277562314,2.0,probeB,3a,29999.9133074777,338,True
757968493,384,739448407,2499.99936637842,2.0,probeC,3a,29999.9923965411,288,True
757968495,379,739448407,2499.99301198126,2.0,probeD,3a,29999.9161437751,279,True
757968497,384,739448407,2499.99964819003,2.0,probeE,3a,29999.9957782803,335,True
757968499,370,739448407,2500.00302083859,2.0,probeF,3a,30000.0362500631,270,True
757984813,384,751348571,2499.99738055511,2.0,probeA,3a,29999.9685666614,316,True
757984818,384,751348571,2499.99308738248,2.0,probeB,3a,29999.9170485897,325,True
757984820,384,751348571,2499.99967082774,2.0,probeC,3a,29999.9960499328,317,True
757984822,384,751348571,2499.99347925422,2.0,probeD,3a,29999.9217510506,313,True
757984826,384,751348571,2499.99988853426,2.0,probeE,3a,29999.9986624111,337,True
757984830,384,751348571,2500.00332829732,2.0,probeF,3a,30000.0399395679,313,True
757988387,384,737581020,2499.99752662219,2.0,probeA,3a,29999.9703194663,293,True
757988389,384,737581020,2499.99329883122,2.0,probeB,3a,29999.9195859747,335,True
757988391,384,737581020,2499.99987063381,2.0,probeC,3a,29999.9984476057,339,True
757988395,384,737581020,2499.99365800561,2.0,probeD,3a,29999.9238960673,342,True
757988398,384,737581020,2500.00003623997,2.0,probeE,3a,30000.0004348796,363,True
757988400,250,737581020,2500.00359681682,2.0,probeF,3a,30000.0431618018,150,True
760213137,384,721123822,2499.99756545021,2.0,probeA,3a,29999.9707854025,288,True
760213142,384,721123822,2499.99359329002,2.0,probeB,3a,29999.9231194802,299,True
760213145,379,721123822,2499.99998291544,2.0,probeC,3a,29999.9997949853,279,True
760213147,374,721123822,2499.99362745914,2.0,probeD,3a,29999.9235295096,274,True
