id,ecephys_probe_id,local_index,probe_horizontal_position,probe_vertical_position,anterior_posterior_ccf_coordinate,dorsal_ventral_ccf_coordinate,left_right_ccf_coordinate,ecephys_structure_id,ecephys_structure_acronym
849705558,792645504,1,11,20,8165,3314,6862,215,APN
849705560,792645504,2,59,40,8162,3307,6866,215,APN
849705562,792645504,3,27,40,8160,3301,6871,215,APN
849705564,792645504,4,43,60,8157,3295,6875,215,APN
849705566,792645504,5,11,60,8155,3288,6879,215,APN
849705568,792645504,6,59,80,8152,3282,6883,215,APN
849705570,792645504,7,27,80,8150,3276,6887,215,APN
849705572,792645504,8,43,100,8147,3269,6892,215,APN
849705574,792645504,9,11,100,8145,3263,6896,215,APN
849705576,792645504,10,59,120,8142,3257,6900,215,APN
849705578,792645504,11,27,120,8140,3250,6904,215,APN
849705580,792645504,12,43,140,8135,3238,6913,215,APN
849705582,792645504,13,11,140,8132,3231,6917,215,APN
849705584,792645504,14,59,160,8130,3225,6921,215,APN
849705586,792645504,15,27,160,8127,3219,6925,215,APN
849705588,792645504,16,43,180,8125,3212,6930,215,APN
849705590,792645504,17,11,180,8122,3206,6934,215,APN
849705592,792645504,18,59,200,8120,3199,6938,215,APN
849705594,792645504,19,27,200,8118,3193,6942,215,APN
849705596,792645504,20,43,220,8115,3187,6946,215,APN
849705598,792645504,21,11,220,8113,3180,6951,215,APN
849705600,792645504,22,59,240,8110,3174,6955,215,APN
849705602,792645504,23,27,240,8108,3167,6959,215,APN
849705604,792645504,24,43,260,8105,3161,6963,215,APN
849705606,792645504,25,11,260,8103,3155,6967,215,APN
849705608,792645504,26,59,280,8100,3148,6971,215,APN
849705610,792645504,27,27,280,8098,3142,6976,215,APN
849705612,792645504,28,43,300,8096,3135,6980,215,APN
849705614,792645504,29,11,300,8093,3129,6984,215,APN
849705616,792645504,30,59,320,8091,3122,6988,215,APN
849705618,792645504,31,27,320,8088,3116,6992,215,APN
849705620,792645504,32,43,340,8086,3109,6997,215,APN
849705626,792645504,35,27,360,8079,3090,7009,215,APN
849705630,792645504,37,11,380,8071,3071,7022,215,APN
849705632,792645504,38,59,400,8069,3064,7026,215,APN
849705634,792645504,39,27,400,8067,3058,7030,215,APN
849705636,792645504,40,43,420,8064,3051,7035,215,APN
849705638,792645504,41,11,420,8062,3045,7039,215,APN
849705640,792645504,42,59,440,8059,3038,7043,215,APN
849705644,792645504,44,43,460,8055,3025,7052,215,APN
849705646,792645504,45,11,460,8052,3018,7056,215,APN
849705652,792645504,48,43,500,8045,2999,7069,215,APN
849705654,792645504,49,11,500,8043,2992,7073,215,APN
849705656,792645504,50,59,520,8040,2986,7078,215,APN
849705658,792645504,51,27,520,8038,2979,7082,215,APN
849705660,792645504,52,43,540,8036,2973,7086,215,APN
849705662,792645504,53,11,540,8033,2966,7091,215,APN
849705664,792645504,54,59,560,8031,2960,7095,215,APN
849705666,792645504,55,27,560,8029,2953,7099,215,APN
849705668,792645504,56,43,580,8026,2947,7104,215,APN
849705670,792645504,57,11,580,8024,2940,7108,215,APN
849705672,792645504,58,59,600,8022,2934,7113,215,APN
849705674,792645504,59,27,600,8019,2927,7117,215,APN
849705676,792645504,60,43,620,8015,2914,7126,215,APN
849705678,792645504,61,11,620,8012,2908,7131,215,APN
849705680,792645504,62,59,640,8010,2901,7135,215,APN
849705682,792645504,63,27,640,8008,2895,7140,215,APN
849705684,792645504,64,43,660,8005,2888,7145,215,APN
849705686,792645504,65,11,660,8003,2882,7149,215,APN
849705688,792645504,66,59,680,8001,2875,7154,215,APN
849705690,792645504,67,27,680,7998,2869,7159,215,APN
849705692,792645504,68,43,700,7996,2862,7163,215,APN
849705696,792645504,70,59,720,7991,2849,7173,215,APN
849705698,792645504,71,27,720,7989,2843,7178,215,APN
849705700,792645504,72,43,740,7987,2836,7183,215,APN
849705702,792645504,73,11,740,7984,2830,7187,215,APN
849705704,792645504,74,59,760,7982,2824,7192,215,APN
849705708,792645504,76,43,780,7977,2811,7202,215,APN
849705710,792645504,77,11,780,7975,2804,7207,215,APN
849705712,792645504,78,59,800,7973,2798,7213,215,APN
849705714,792645504,79,27,800,7970,2792,7218,215,APN
849705716,792645504,80,43,820,7968,2785,7223,215,APN
849705718,792645504,81,11,820,7966,2779,7228,215,APN
849705720,792645504,82,59,840,7963,2773,7233,218,LP
849705722,792645504,83,27,840,7961,2766,7239,218,LP
849705724,792645504,84,43,860,7956,2754,7250,218,LP
849705726,792645504,85,11,860,7954,2748,7255,313,MB
849705728,792645504,86,59,880,7952,2742,7261,313,MB
849705730,792645504,87,27,880,7949,2735,7266,313,MB
849705732,792645504,88,43,900,7947,2729,7272,313,MB
849705734,792645504,89,11,900,7944,2723,7278,313,MB
849705736,792645504,90,59,920,7942,2717,7284,313,MB
849705738,792645504,91,27,920,7940,2711,7290,313,MB
849705740,792645504,92,43,940,7937,2705,7296,313,MB
849705742,792645504,93,11,940,7935,2699,7302,313,MB
849705744,792645504,94,59,960,7933,2693,7308,313,MB
849705746,792645504,95,27,960,7930,2687,7314,313,MB
849705748,792645504,96,43,980,7928,2681,7320,313,MB
849705750,792645504,97,11,980,7925,2675,7326,313,MB
849705752,792645504,98,59,1000,7923,2669,7333,313,MB
849705754,792645504,99,27,1000,7921,2663,7339,313,MB
849705756,792645504,100,43,1020,7918,2658,7346,313,MB
849705758,792645504,101,11,1020,7916,2652,7352,313,MB
849705760,792645504,102,59,1040,7913,2646,7359,313,MB
849705762,792645504,103,27,1040,7911,2640,7365,313,MB
849705764,792645504,104,43,1060,7909,2634,7372,313,MB
849705766,792645504,105,11,1060,7906,2628,7378,313,MB
849705768,792645504,106,59,1080,7904,2623,7385,313,MB
849705770,792645504,107,27,1080,7901,2617,7392,726,DG
849705772,792645504,108,43,1100,7899,2611,7399,726,DG
849705774,792645504,109,11,1100,7896,2605,7405,726,DG
849705776,792645504,110,59,1120,7894,2599,7412,726,DG
849705778,792645504,111,27,1120,7892,2593,7419,726,DG
849705782,792645504,113,11,1140,7889,2587,7426,726,DG
849705784,792645504,114,59,1160,7887,2581,7433,726,DG
849705786,792645504,115,27,1160,7884,2575,7439,726,DG
849705788,792645504,116,43,1180,7882,2569,7446,726,DG
849705790,792645504,117,11,1180,7879,2563,7453,726,DG
849705792,792645504,118,59,1200,7877,2557,7460,726,DG
849705794,792645504,119,27,1200,7874,2551,7467,726,DG
849705796,792645504,120,43,1220,7871,2544,7473,726,DG
849705798,792645504,121,11,1220,7869,2538,7480,726,DG
849705800,792645504,122,59,1240,7866,2532,7487,726,DG
849705802,792645504,123,27,1240,7864,2525,7494,726,DG
849705804,792645504,124,43,1260,7861,2519,7500,726,DG
849705806,792645504,125,11,1260,7861,2519,7500,726,DG
849705808,792645504,126,59,1280,7859,2513,7507,726,DG
849705810,792645504,127,27,1280,7856,2506,7514,726,DG
849705812,792645504,128,43,1300,7853,2499,7520,726,DG
849705814,792645504,129,11,1300,7851,2493,7527,726,DG
849705816,792645504,130,59,1320,7848,2486,7533,726,DG
849705818,792645504,131,27,1320,7846,2479,7540,726,DG
849705820,792645504,132,43,1340,7843,2472,7546,726,DG
849705822,792645504,133,11,1340,7840,2465,7552,726,DG
849705824,792645504,134,59,1360,7838,2458,7559,726,DG
849705826,792645504,135,27,1360,7835,2451,7565,726,DG
849705828,792645504,136,43,1380,7832,2444,7571,726,DG
849705830,792645504,137,11,1380,7830,2437,7577,726,DG
849705832,792645504,138,59,1400,7830,2437,7577,726,DG
849705834,792645504,139,27,1400,7827,2430,7584,726,DG
849705836,792645504,140,43,1420,7824,2422,7590,726,DG
849705838,792645504,141,11,1420,7822,2415,7596,726,DG
849705840,792645504,142,59,1440,7819,2408,7602,726,DG
849705842,792645504,143,27,1440,7816,2400,7608,726,DG
849705846,792645504,145,11,1460,7811,2385,7620,726,DG
849705848,792645504,146,59,1480,7808,2377,7626,726,DG
849705850,792645504,147,27,1480,7805,2370,7631,726,DG
849705852,792645504,148,43,1500,7802,2362,7637,726,DG
849705854,792645504,149,11,1500,7800,2354,7643,726,DG
849705856,792645504,150,59,1520,7800,2354,7643,726,DG
849705860,792645504,152,43,1540,7794,2338,7654,726,DG
849705862,792645504,153,11,1540,7791,2331,7660,726,DG
849705864,792645504,154,59,1560,7789,2323,7666,726,DG
849705866,792645504,155,27,1560,7786,2315,7671,726,DG
849705868,792645504,156,43,1580,7783,2307,7677,726,DG
849705870,792645504,157,11,1580,7780,2299,7682,726,DG
849705872,792645504,158,59,1600,7778,2291,7688,726,DG
849705874,792645504,159,27,1600,7775,2283,7693,726,DG
849705876,792645504,160,43,1620,7772,2275,7698,726,DG
849705878,792645504,161,11,1620,7769,2267,7704,726,DG
849705880,792645504,162,59,1640,7769,2267,7704,726,DG
849705882,792645504,163,27,1640,7766,2258,7709,726,DG
849705884,792645504,164,43,1660,7764,2250,7714,726,DG
849705886,792645504,165,11,1660,7761,2242,7720,726,DG
849705888,792645504,166,59,1680,7758,2234,7725,726,DG
849705890,792645504,167,27,1680,7755,2226,7730,726,DG
849705892,792645504,168,43,1700,7752,2218,7735,726,DG
849705896,792645504,170,59,1720,7747,2202,7745,726,DG
849705898,792645504,171,27,1720,7744,2193,7750,726,DG
849705900,792645504,172,43,1740,7741,2185,7755,726,DG
849705902,792645504,173,11,1740,7738,2177,7760,726,DG
849705904,792645504,174,59,1760,7735,2169,7765,726,DG
849705906,792645504,175,27,1760,7735,2169,7765,726,DG
849705908,792645504,176,43,1780,7732,2161,7770,726,DG
849705910,792645504,177,11,1780,7730,2153,7775,726,DG
849705912,792645504,178,59,1800,7727,2145,7780,726,DG
849705914,792645504,179,27,1800,7724,2137,7784,726,DG
849705916,792645504,180,43,1820,7721,2129,7789,726,DG
849705918,792645504,181,11,1820,7718,2121,7794,726,DG
849705920,792645504,182,59,1840,7715,2114,7798,726,DG
849705922,792645504,183,27,1840,7712,2106,7803,726,DG
849705924,792645504,184,43,1860,7709,2098,7807,382,CA1
849705926,792645504,185,11,1860,7706,2090,7811,382,CA1
849705928,792645504,186,59,1880,7700,2075,7820,382,CA1
849705930,792645504,187,27,1880,7694,2060,7828,382,CA1
849705934,792645504,189,11,1900,7685,2038,7840,382,CA1
849705936,792645504,190,59,1920,7679,2023,7847,382,CA1
849705938,792645504,191,27,1920,7673,2009,7854,382,CA1
849705940,792645504,192,43,1940,7670,2002,7857,382,CA1
849705944,792645504,194,59,1960,7657,1974,7870,382,CA1
849705946,792645504,195,27,1960,7654,1967,7873,382,CA1
849705948,792645504,196,43,1980,7647,1954,7879,382,CA1
849705950,792645504,197,11,1980,7641,1941,7884,382,CA1
849705952,792645504,198,59,2000,7634,1928,7889,382,CA1
849705954,792645504,199,27,2000,7631,1921,7892,382,CA1
849705956,792645504,200,43,2020,7624,1909,7897,382,CA1
849705958,792645504,201,11,2020,7618,1896,7901,382,CA1
849705960,792645504,202,59,2040,7611,1883,7905,382,CA1
849705962,792645504,203,27,2040,7608,1877,7908,382,CA1
849705964,792645504,204,43,2060,7601,1865,7912,382,CA1
849705966,792645504,205,11,2060,7594,1853,7916,382,CA1
849705968,792645504,206,59,2080,7588,1840,7919,382,CA1
849705970,792645504,207,27,2080,7584,1834,7921,382,CA1
849705972,792645504,208,43,2100,7578,1822,7925,382,CA1
849705974,792645504,209,11,2100,7571,1810,7929,382,CA1
849705976,792645504,210,59,2120,7568,1804,7931,382,CA1
849705978,792645504,211,27,2120,7561,1792,7934,382,CA1
849705980,792645504,212,43,2140,7554,1780,7938,382,CA1
849705982,792645504,213,11,2140,7548,1768,7942,382,CA1
849705984,792645504,214,59,2160,7544,1762,7944,382,CA1
849705986,792645504,215,27,2160,7538,1749,7948,382,CA1
849705988,792645504,216,43,2180,7531,1737,7952,382,CA1
849705990,792645504,217,11,2180,7525,1725,7956,382,CA1
849705992,792645504,218,59,2200,7522,1719,7958,382,CA1
849705994,792645504,219,27,2200,7515,1707,7963,382,CA1
849705996,792645504,220,43,2220,7509,1695,7967,382,CA1
849705998,792645504,221,11,2220,7506,1688,7970,382,CA1
849706000,792645504,222,59,2240,7500,1676,7975,382,CA1
849706002,792645504,223,27,2240,7493,1664,7980,382,CA1
849706004,792645504,224,43,2260,7487,1652,7986,382,CA1
849706006,792645504,225,11,2260,7484,1646,7989,382,CA1
849706008,792645504,226,59,2280,7478,1633,7995,382,CA1
849706012,792645504,228,43,2300,7466,1609,8009,382,CA1
849706014,792645504,229,11,2300,7463,1603,8012,382,CA1
849706016,792645504,230,59,2320,7457,1591,8020,382,CA1
849706018,792645504,231,27,2320,7451,1579,8028,382,CA1
849706020,792645504,232,43,2340,7448,1573,8032,382,CA1
849706022,792645504,233,11,2340,7442,1561,8041,382,CA1
849706024,792645504,234,59,2360,7436,1549,8051,382,CA1
849706026,792645504,235,27,2360,7429,1537,8061,382,CA1
849706028,792645504,236,43,2380,7426,1531,8066,382,CA1
849706030,792645504,237,11,2380,7420,1519,8077,382,CA1
849706032,792645504,238,59,2400,7414,1508,8088,382,CA1
849706034,792645504,239,27,2400,7408,1496,8100,417,VISrl
849706036,792645504,240,43,2420,7405,1491,8106,417,VISrl
849706038,792645504,241,11,2420,7399,1479,8119,417,VISrl
849706040,792645504,242,59,2440,7396,1474,8125,417,VISrl
849706042,792645504,243,27,2440,7393,1468,8132,417,VISrl
849706044,792645504,244,43,2460,7390,1462,8139,417,VISrl
849706046,792645504,245,11,2460,7387,1457,8145,417,VISrl
849706048,792645504,246,59,2480,7384,1451,8152,417,VISrl
849706050,792645504,247,27,2480,7381,1446,8160,417,VISrl
849706052,792645504,248,43,2500,7378,1440,8167,417,VISrl
849706054,792645504,249,11,2500,7372,1429,8182,417,VISrl
849706056,792645504,250,59,2520,7369,1424,8189,417,VISrl
