id,date_of_acquisition,isi_experiment_id,published_at,specimen_id,session_type,age_in_days,sex,genotype,has_nwb
715093703,2019-01-19T08:54:18Z,705968051,2019-10-03T00:00:00Z,699733581,brain_observatory_1.1,118.0,M,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,True
719161530,2019-01-09T00:25:16Z,712195349,2019-10-03T00:00:00Z,703279284,brain_observatory_1.1,122.0,M,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,True
721123822,2019-01-09T00:25:35Z,715336286,2019-10-03T00:00:00Z,707296982,brain_observatory_1.1,125.0,M,Pvalb-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,True
732592105,2019-01-09T00:26:20Z,720112206,2019-10-03T00:00:00Z,717038288,brain_observatory_1.1,100.0,M,wt/wt,True
737581020,2018-09-25T21:03:59Z,724842748,2019-10-03T00:00:00Z,718643567,brain_observatory_1.1,108.0,M,wt/wt,True
739448407,2019-01-09T00:27:24Z,723569278,2019-10-03T00:00:00Z,716813543,brain_observatory_1.1,112.0,M,wt/wt,True
742951821,2018-10-26T19:47:04Z,732238627,2019-10-03T00:00:00Z,723627604,brain_observatory_1.1,120.0,M,wt/wt,True
743475441,2018-10-26T19:50:58Z,730569071,2019-10-03T00:00:00Z,722882755,brain_observatory_1.1,121.0,M,wt/wt,True
744228101,2018-09-25T18:43:40Z,730569061,2019-10-03T00:00:00Z,719817805,brain_observatory_1.1,122.0,M,wt/wt,True
746083955,2018-10-26T19:58:43Z,736872615,2019-10-03T00:00:00Z,726170935,brain_observatory_1.1,98.0,F,Pvalb-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,True
750332458,2018-09-25T18:44:22Z,736014217,2019-10-03T00:00:00Z,726141251,brain_observatory_1.1,91.0,M,wt/wt,True
750749662,2018-10-26T19:58:51Z,736618254,2019-10-03T00:00:00Z,726162197,brain_observatory_1.1,92.0,M,wt/wt,True
751348571,2018-09-25T20:40:29Z,740503954,2019-10-03T00:00:00Z,732548380,brain_observatory_1.1,93.0,F,Vip-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,True
754312389,2018-09-25T18:02:57Z,740503967,2019-10-03T00:00:00Z,719828690,brain_observatory_1.1,140.0,M,wt/wt,True
754829445,2018-10-26T19:18:13Z,738096833,2019-10-03T00:00:00Z,726298253,brain_observatory_1.1,141.0,M,wt/wt,True
755434585,2018-10-26T19:58:07Z,741390730,2019-10-03T00:00:00Z,730760270,brain_observatory_1.1,100.0,M,Vip-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,True
756029989,2018-10-26T19:59:18Z,742512051,2019-10-03T00:00:00Z,734865738,brain_observatory_1.1,96.0,M,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,True
757216464,2018-10-26T19:55:34Z,741390722,2019-10-03T00:00:00Z,733457989,brain_observatory_1.1,105.0,M,wt/wt,True
