node_ids unit_ids session_id ecephys_structure_acronym
0 915962163 732592105 VISl
1 915962620 732592105 VISl
2 915962623 732592105 VISl
3 915962637 732592105 VISl
4 915962640 732592105 VISl
5 915962659 732592105 VISl
6 915962682 732592105 VISl
7 915963380 732592105 VISl
8 915963383 732592105 VISl
9 915962627 732592105 VISl
10 915962632 732592105 VISl
11 915962634 732592105 VISl
12 915962642 732592105 VISl
13 915962645 732592105 VISl
14 915962650 732592105 VISl
15 915962653 732592105 VISl
16 915962648 732592105 VISl
17 915963475 732592105 VISl
18 915962656 732592105 VISl
19 915962697 732592105 VISl
20 915962706 732592105 VISl
21 915962712 732592105 VISl
22 915962775 732592105 VISl
23 915962778 732592105 VISl
24 915962665 732592105 VISl
25 915962667 732592105 VISl
26 915962671 732592105 VISl
27 915962673 732592105 VISl
28 915962677 732592105 VISl
29 915962679 732592105 VISl
30 915962685 732592105 VISl
31 915962709 732592105 VISl
32 915962687 732592105 VISl
33 915962691 732592105 VISl
34 915962693 732592105 VISl
35 915962695 732592105 VISl
36 915963374 732592105 VISl
37 915963376 732592105 VISl
38 915963385 732592105 VISl
39 915962715 732592105 VISl
40 915962717 732592105 VISl
41 915962723 732592105 VISl
42 915962728 732592105 VISl
43 915962720 732592105 VISl
44 915962740 732592105 VISl
45 915962745 732592105 VISl
46 915962748 732592105 VISl
47 915962751 732592105 VISl
48 915962754 732592105 VISl
49 915962756 732592105 VISl
50 915962725 732592105 VISl
51 915962730 732592105 VISl
52 915962733 732592105 VISl
53 915962737 732592105 VISl
54 915963556 732592105 VISl
55 915962742 732592105 VISl
56 915962759 732592105 VISl
57 915962761 732592105 VISl
58 915962764 732592105 VISl
59 915962767 732592105 VISl
60 915962769 732592105 VISl
61 915962772 732592105 VISl
62 915962789 732592105 VISl
63 915962795 732592105 VISl
64 915962810 732592105 VISl
65 915962799 732592105 VISl
66 915962801 732592105 VISl
67 915962804 732592105 VISl
68 915962813 732592105 VISl
69 915963398 732592105 VISl
70 915962815 732592105 VISl
71 915962825 732592105 VISl
72 915962827 732592105 VISl
73 915962830 732592105 VISl
74 915963388 732592105 VISl
75 915963478 732592105 VISl
76 915962819 732592105 VISl
77 915962821 732592105 VISl
78 915962832 732592105 VISl
79 915962835 732592105 VISl
80 915962838 732592105 VISl
81 915962841 732592105 VISl
82 915962843 732592105 VISl
83 915962847 732592105 VISl
84 915962849 732592105 VISl
85 915962855 732592105 VISl
86 915962857 732592105 VISl
87 915962882 732592105 VISl
88 915962889 732592105 VISl
89 915962905 732592105 VISl
90 915962911 732592105 VISl
91 915962916 732592105 VISl
92 915962918 732592105 VISl
93 915963168 732592105 VISl
94 915962861 732592105 VISl
95 915962880 732592105 VISl
96 915962886 732592105 VISl
97 915962863 732592105 VISl
98 915962866 732592105 VISl
99 915962868 732592105 VISl
100 915962872 732592105 VISl
101 915962874 732592105 VISl
102 915962878 732592105 VISl
103 915962894 732592105 VISl
104 915962903 732592105 VISl
105 915962897 732592105 VISl
106 915963390 732592105 VISl
107 915963480 732592105 VISl
108 915962923 732592105 VISl
109 915962926 732592105 VISl
110 915962929 732592105 VISl
111 915962931 732592105 VISl
112 915963586 732592105 VISl
113 915962933 732592105 VISl
114 915962935 732592105 VISl
115 915962939 732592105 VISl
116 915962941 732592105 VISl
117 915962943 732592105 VISl
118 915963393 732592105 VISl
119 915962947 732592105 VISl
120 915962950 732592105 VISl
121 915962953 732592105 VISl
122 915962970 732592105 VISl
123 915962972 732592105 VISl
124 915963405 732592105 VISl
125 915962955 732592105 VISl
126 915962959 732592105 VISl
127 915963486 732592105 VISl
128 915962964 732592105 VISl
129 915962967 732592105 VISl
130 915962976 732592105 VISl
131 915962986 732592105 VISl
132 915962990 732592105 VISl
133 915962998 732592105 VISl
134 915963400 732592105 VISl
135 915963483 732592105 VISl
136 915963488 732592105 VISl
137 915963491 732592105 VISl
138 915962978 732592105 VISl
139 915962980 732592105 VISl
140 915962983 732592105 VISl
141 915962988 732592105 VISl
142 915962992 732592105 VISl
143 915962995 732592105 VISl
144 915963000 732592105 VISl
145 915963002 732592105 VISl
146 915963005 732592105 VISl
147 915963009 732592105 VISl
148 915963012 732592105 VISl
149 915963015 732592105 VISl
150 915963403 732592105 VISl
151 915963018 732592105 VISl
152 915963021 732592105 VISl
153 915963027 732592105 VISl
154 915963395 732592105 VISl
155 915963032 732592105 VISl
156 915963034 732592105 VISl
157 915963037 732592105 VISl
158 915963045 732592105 VISl
159 915963048 732592105 VISl
160 915963051 732592105 VISl
161 915963065 732592105 VISl
162 915963054 732592105 VISl
163 915963056 732592105 VISl
164 915963081 732592105 VISl
165 915963145 732592105 VISl
166 915963059 732592105 VISl
167 915963079 732592105 VISl
168 915963099 732592105 VISl
169 915963408 732592105 VISl
170 915963068 732592105 VISl
171 915963071 732592105 VISl
172 915963073 732592105 VISl
173 915963076 732592105 VISl
174 915963083 732592105 VISl
175 915963085 732592105 VISl
176 915963089 732592105 VISl
177 915963091 732592105 VISl
178 915963093 732592105 VISl
179 915963097 732592105 VISl
180 915963589 732592105 VISl
181 915963104 732592105 VISl
182 915963109 732592105 VISl
183 915963113 732592105 VISl
184 915963115 732592105 VISl
185 915963119 732592105 VISl
186 915963123 732592105 VISl
187 915963126 732592105 VISl
188 915963562 732592105 VISl
189 915963129 732592105 VISl
190 915963132 732592105 VISl
191 915963135 732592105 VISl
192 915963139 732592105 VISl
193 915963141 732592105 VISl
194 915963148 732592105 VISl
195 915963413 732592105 VISl
196 915963416 732592105 VISl
197 915963371 732592105 VISl
198 915963494 732592105 VISl
199 915963558 732592105 VISl
200 915963609 732592105 VISl
