node_ids unit_ids session_id ecephys_structure_acronym
0 951090011 798911424 DG
1 951090026 798911424 DG
2 951090046 798911424 DG
3 951090064 798911424 DG
4 951090082 798911424 DG
5 951090112 798911424 DG
6 951090214 798911424 DG
7 951090304 798911424 CA1
8 951090343 798911424 CA1
9 951090362 798911424 CA1
10 951090442 798911424 CA1
11 951090465 798911424 CA1
12 951090510 798911424 CA1
13 951090524 798911424 CA1
14 951090537 798911424 CA1
15 951090551 798911424 CA1
16 951090563 798911424 CA1
17 951090609 798911424 CA1
18 951090626 798911424 CA1
19 951090651 798911424 CA1
20 951090717 798911424 CA1
21 951090679 798911424 CA1
22 951090693 798911424 CA1
23 951090729 798911424 CA1
24 951090746 798911424 CA1
25 951090773 798911424 CA1
26 951094256 798911424 CA1
27 951090804 798911424 CA1
28 951090819 798911424 CA1
29 951090832 798911424 CA1
30 951090845 798911424 CA1
31 951090856 798911424 CA1
32 951090874 798911424 CA1
33 951090888 798911424 CA1
34 951094268 798911424 CA1
35 951090906 798911424 CA1
36 951090924 798911424 CA1
37 951090966 798911424 CA1
38 951090982 798911424 CA1
39 951090998 798911424 CA1
40 951091012 798911424 CA1
41 951094283 798911424 CA1
42 951091025 798911424 CA1
43 951091055 798911424 CA1
44 951091068 798911424 CA1
45 951091083 798911424 CA1
46 951091095 798911424 CA1
47 951091109 798911424 CA1
48 951091122 798911424 CA1
49 951094300 798911424 CA1
50 951091149 798911424 CA1
51 951091162 798911424 CA1
52 951091175 798911424 CA1
53 951094314 798911424 CA1
54 951091188 798911424 CA1
55 951091382 798911424 CA1
56 951094325 798911424 CA1
57 951094342 798911424 CA1
58 951094355 798911424 CA1
59 951091202 798911424 CA1
60 951091220 798911424 CA1
61 951091287 798911424 CA1
62 951091304 798911424 CA1
63 951091319 798911424 CA1
64 951091335 798911424 CA1
65 951091353 798911424 CA1
66 951091369 798911424 CA1
67 951091397 798911424 CA1
68 951091412 798911424 CA1
69 951091431 798911424 CA1
70 951091444 798911424 CA1
71 951091460 798911424 CA1
72 951091475 798911424 CA1
73 951091492 798911424 CA1
74 951091509 798911424 CA1
75 951091522 798911424 CA1
76 951094371 798911424 CA1
77 951091536 798911424 CA1
78 951091549 798911424 CA1
79 951091563 798911424 CA1
80 951091578 798911424 CA1
81 951091592 798911424 CA1
82 951091709 798911424 CA1
83 951091730 798911424 CA1
84 951091758 798911424 CA1
85 951091607 798911424 CA1
86 951091623 798911424 CA1
87 951091643 798911424 CA1
88 951091655 798911424 CA1
89 951091671 798911424 CA1
90 951091689 798911424 CA1
91 951091770 798911424 CA1
92 951091785 798911424 CA1
93 951091800 798911424 CA1
94 951091833 798911424 CA1
95 951091853 798911424 CA1
96 951091890 798911424 CA1
97 951091914 798911424 CA1
98 951091929 798911424 CA1
99 951094387 798911424 CA1
100 951095660 798911424 DG
101 951095674 798911424 DG
102 951095700 798911424 DG
103 951095747 798911424 DG
104 951099104 798911424 DG
105 951095759 798911424 DG
106 951095776 798911424 DG
107 951095810 798911424 DG
108 951095791 798911424 DG
109 951095887 798911424 DG
110 951095829 798911424 DG
111 951095847 798911424 DG
112 951095860 798911424 DG
113 951095875 798911424 DG
114 951095898 798911424 DG
115 951095966 798911424 DG
116 951095913 798911424 DG
117 951095928 798911424 DG
118 951095949 798911424 DG
119 951096020 798911424 DG
120 951096055 798911424 DG
121 951096115 798911424 DG
122 951096129 798911424 DG
123 951096143 798911424 DG
124 951096158 798911424 DG
125 951096171 798911424 DG
126 951096183 798911424 DG
127 951099151 798911424 DG
128 951096196 798911424 DG
129 951096337 798911424 DG
130 951099164 798911424 DG
131 951096210 798911424 DG
132 951096223 798911424 DG
133 951096236 798911424 DG
134 951096250 798911424 DG
135 951096262 798911424 DG
136 951096322 798911424 DG
137 951096355 798911424 CA1
138 951096547 798911424 CA1
139 951096586 798911424 CA1
140 951096599 798911424 CA1
141 951096635 798911424 CA1
