node_ids unit_ids session_id ecephys_structure_acronym
0 951763702 754829445 PoT
1 951763711 754829445 PoT
2 951763715 754829445 PoT
3 951763720 754829445 PoT
4 951763733 754829445 PoT
5 951763808 754829445 PoT
6 951763774 754829445 PoT
7 951763782 754829445 PoT
8 951763786 754829445 PoT
9 951763790 754829445 PoT
10 951763798 754829445 PoT
11 951763802 754829445 PoT
12 951763819 754829445 PoT
13 951763806 754829445 LP
14 951763859 754829445 LP
15 951763863 754829445 LP
16 951763867 754829445 LP
17 951765913 754829445 LP
18 951765921 754829445 LP
19 951763823 754829445 LP
20 951763828 754829445 LP
21 951763833 754829445 LP
22 951763837 754829445 LP
23 951763841 754829445 LP
24 951763845 754829445 LP
25 951763849 754829445 LP
26 951763887 754829445 LP
27 951763893 754829445 LP
28 951763901 754829445 LP
29 951763954 754829445 LP
30 951763961 754829445 LP
31 951763907 754829445 LP
32 951763914 754829445 LP
33 951763920 754829445 LP
34 951763928 754829445 LP
35 951763934 754829445 LP
36 951763968 754829445 LP
37 951763975 754829445 LP
38 951764029 754829445 LP
39 951763982 754829445 LP
40 951763988 754829445 LP
41 951764001 754829445 LP
42 951764008 754829445 LP
43 951764022 754829445 LP
44 951764035 754829445 LP
45 951764042 754829445 LP
46 951764049 754829445 LP
47 951764055 754829445 LP
48 951764063 754829445 LP
49 951764070 754829445 LP
50 951764076 754829445 LP
51 951764083 754829445 LP
52 951764090 754829445 LP
53 951764099 754829445 LP
54 951764106 754829445 LP
55 951764112 754829445 LP
56 951764118 754829445 LGd
57 951764147 754829445 LGd
58 951764155 754829445 LGd
59 951764169 754829445 LGd
60 951765926 754829445 LGd
61 951764125 754829445 LGd
62 951764132 754829445 LGd
63 951764139 754829445 LGd
64 951764162 754829445 LGd
65 951764175 754829445 LGd
66 951764196 754829445 LGd
67 951764182 754829445 LGd
68 951764190 754829445 LGd
69 951764203 754829445 LGd
70 951764210 754829445 LGd
71 951764216 754829445 LGd
72 951764224 754829445 LGd
73 951764232 754829445 LGd
74 951765931 754829445 LGd
75 951764239 754829445 LGd
76 951764246 754829445 LGd
77 951764250 754829445 LGd
78 951764263 754829445 LGd
79 951764259 754829445 LGd
80 951764268 754829445 LGd
81 951764272 754829445 LGd
82 951764279 754829445 LGd
83 951764284 754829445 LGd
84 951764287 754829445 LGd
85 951764293 754829445 LGd
86 951764299 754829445 LGd
87 951764305 754829445 LGd
88 951764312 754829445 LGd
89 951764319 754829445 LGd
90 951764325 754829445 LGd
91 951764332 754829445 LGd
92 951764338 754829445 LGd
93 951764344 754829445 LGd
94 951764350 754829445 LGd
95 951764357 754829445 LGd
96 951764364 754829445 LGd
97 951764370 754829445 LGd
98 951764374 754829445 LGd
99 951764379 754829445 LGd
100 951764385 754829445 LGd
101 951764390 754829445 LGd
102 951764396 754829445 LGd
103 951764438 754829445 LGd
104 951764447 754829445 LGd
105 951764454 754829445 LGd
106 951764460 754829445 LGd
107 951764466 754829445 LGd
108 951764478 754829445 LGd
109 951764503 754829445 LGd
110 951764514 754829445 LGd
111 951764484 754829445 LGd
112 951764490 754829445 LGd
113 951764496 754829445 LGd
114 951765944 754829445 LGd
115 951764520 754829445 LGd
116 951764543 754829445 LGd
117 951764550 754829445 LGd
118 951764557 754829445 LGd
119 951764563 754829445 LGd
120 951764570 754829445 LGd
121 951764608 754829445 LGd
122 951764622 754829445 LGd
123 951764614 754829445 LGd
124 951764618 754829445 LGd
125 951764624 754829445 LGd
126 951764626 754829445 LGd
127 951764630 754829445 LGd
128 951764635 754829445 LGd
129 951764639 754829445 LGd
130 951764644 754829445 LGd
131 951764648 754829445 LGd
132 951764652 754829445 LGd
133 951764669 754829445 LGd
134 951764675 754829445 LGd
135 951764688 754829445 LGd
136 951764681 754829445 LGd
137 951764694 754829445 LGd
138 951764700 754829445 LGd
139 951764706 754829445 LGd
140 951764714 754829445 LGd
141 951764724 754829445 LGd
142 951764731 754829445 LGd
143 951764753 754829445 LGd
144 951764768 754829445 LGd
145 951764776 754829445 LGd
146 951764783 754829445 LGd
147 951764791 754829445 LGd
148 951764798 754829445 LGd
149 951766138 754829445 PO
150 951766180 754829445 PO
151 951766144 754829445 PO
152 951766152 754829445 PO
153 951766160 754829445 PO
154 951768980 754829445 PO
155 951766167 754829445 PO
156 951766173 754829445 PO
157 951766195 754829445 PO
158 951766220 754829445 PO
159 951768986 754829445 PO
160 951766188 754829445 PO
161 951766203 754829445 PO
162 951766208 754829445 PO
163 951766240 754829445 PO
164 951766225 754829445 PO
165 951766229 754829445 PO
166 951766235 754829445 PO
167 951766245 754829445 PO
168 951766251 754829445 PO
169 951766256 754829445 PO
170 951766262 754829445 PO
171 951766266 754829445 PO
172 951766271 754829445 PO
173 951766276 754829445 PO
174 951766280 754829445 PO
175 951766286 754829445 PO
176 951766291 754829445 PO
177 951768995 754829445 PO
178 951766298 754829445 PO
179 951766303 754829445 PO
180 951766334 754829445 PO
181 951766309 754829445 LP
182 951766314 754829445 LP
183 951766322 754829445 LP
184 951766327 754829445 LP
185 951766340 754829445 LP
186 951766346 754829445 LP
187 951766353 754829445 LP
188 951766360 754829445 LP
189 951769002 754829445 LP
190 951766366 754829445 LP
191 951766372 754829445 LP
192 951766379 754829445 LP
193 951766385 754829445 LP
194 951766390 754829445 LP
195 951766398 754829445 LP
196 951766438 754829445 LP
197 951766442 754829445 LP
198 951766403 754829445 LP
199 951766408 754829445 LP
200 951766416 754829445 LP
201 951766421 754829445 LP
202 951766447 754829445 LP
203 951766452 754829445 LP
204 951769007 754829445 LP
205 951769012 754829445 LP
206 951766427 754829445 LP
207 951766432 754829445 LP
208 951766458 754829445 LP
209 951766463 754829445 LP
210 951766469 754829445 LP
211 951766474 754829445 LP
212 951769018 754829445 LP
213 951769024 754829445 LP
214 951766480 754829445 LP
215 951766485 754829445 LP
216 951766489 754829445 LP
217 951766494 754829445 LP
218 951766500 754829445 LP
219 951766521 754829445 LP
220 951769034 754829445 LP
221 951766504 754829445 LP
222 951766510 754829445 LP
223 951766515 754829445 LP
224 951766526 754829445 LP
225 951766531 754829445 LP
226 951766541 754829445 LP
227 951769041 754829445 LP
228 951766546 754829445 LP
229 951766552 754829445 LP
230 951766557 754829445 LP
231 951766562 754829445 LP
232 951766567 754829445 LP
233 951769046 754829445 LP
234 951766573 754829445 LP
235 951766577 754829445 LP
236 951766582 754829445 LP
237 951766589 754829445 LP
238 951766593 754829445 LP
239 951766599 754829445 LP
240 951766611 754829445 LP
241 951766616 754829445 LP
242 951766621 754829445 LP
243 951766625 754829445 LP
244 951766630 754829445 LP
245 951766634 754829445 LP
246 951766636 754829445 LP
247 951769054 754829445 LP
248 951766640 754829445 LP
249 951766645 754829445 LP
250 951766650 754829445 LP
251 951766657 754829445 LP
252 951766662 754829445 LP
253 951766673 754829445 LP
254 951766679 754829445 LP
255 951766685 754829445 LP
256 951766691 754829445 LP
257 951766697 754829445 LP
258 951766704 754829445 LP
259 951769060 754829445 LP
260 951769068 754829445 LP
261 951769074 754829445 LP
262 951766709 754829445 LP
263 951766738 754829445 LP
264 951766743 754829445 LP
265 951769088 754829445 LP
266 951766714 754829445 LP
267 951769081 754829445 LP
268 951766722 754829445 LP
269 951766732 754829445 LP
270 951766749 754829445 LP
271 951766754 754829445 LP
272 951766767 754829445 LP
273 951766773 754829445 LP
274 951766791 754829445 LP
275 951766797 754829445 LP
276 951766803 754829445 LP
277 951766809 754829445 LP
278 951766816 754829445 LP
279 951766828 754829445 LP
280 951766833 754829445 LP
281 951766840 754829445 LP
282 951766846 754829445 LP
283 951766867 754829445 LP
284 951769094 754829445 LP
285 951769119 754829445 LP
286 951769125 754829445 LP
287 951766853 754829445 LP
288 951766860 754829445 LP
289 951769100 754829445 LP
290 951769106 754829445 LP
291 951766873 754829445 LP
292 951766879 754829445 LP
293 951766886 754829445 LP
294 951766893 754829445 LP
295 951766899 754829445 LP
296 951766906 754829445 LP
297 951766912 754829445 LP
298 951766918 754829445 LP
299 951766923 754829445 LP
300 951769112 754829445 LP
301 951766928 754829445 LP
302 951766933 754829445 LP
303 951766938 754829445 LP
304 951769131 754829445 LP
305 951766942 754829445 LP
306 951766948 754829445 LP
307 951766952 754829445 LP
308 951766957 754829445 LP
309 951766960 754829445 LP
310 951769138 754829445 LP
