gid spike-times
0 12.5870160621,14.0233168231,117.545036947,185.946096313,312.557060127,330.742522172,503.22364352,620.884287475,673.213573647,755.496269337,888.370908478,1102.47029228,1204.9048199,1207.31715263,1439.41787561,1458.11940463,1507.34484862,1563.60244989,1790.43244456,1841.59806531,1849.12080351,1851.91570692,1868.47717791,1908.58354501,1967.60788802,2081.37580272,2279.55684621,2328.65417037,2389.45198774,2567.10808945,2690.39192616,2745.4234886,2891.22668804
1 5.87722712246,176.963891713,305.418411081,480.225450128,560.161647168,566.691475096,701.785870594,763.182533663,777.433130051,898.826045999,923.564206489,979.91893288,1097.86502441,1279.26684629,1421.01723474,1547.4088954,1605.74581334,1627.70469707,1785.61272041,1923.06213896,2050.41114109,2074.30284258,2096.27536739,2160.29635317,2281.42080993,2450.10599402,2569.19929713,2619.01413814,2626.04776933,2745.36563066,2883.13679535,2884.87098873
2 185.709550576,211.917168099,306.885542793,451.28077101,537.316929658,658.489818194,822.86970043,1033.35039736,1166.4660437,1218.16627437,1292.87301495,1446.12928755,1521.71022346,1683.79141248,1738.44067957,1790.6965082,1812.18105819,1892.31948303,1941.78562058,1981.22806395,2016.81139669,2133.83785641,2346.32947241,2348.11561758,2385.18024097,2489.88630918,2526.42570832,2634.81096806,2681.86769264,2770.81950377,2776.06168612,2978.72904335
3 162.205143026,343.123317079,382.325066421,475.989448824,690.965046107,790.498583616,872.761025411,986.611270092,1096.35148208,1141.01254572,1208.33836694,1324.01158321,1453.95509346,1503.43254553,1612.95600536,1662.95659455,1806.40149663,1967.55238441,2097.25877732,2241.58546739,2322.34434689,2408.94513747,2513.77122177,2579.51440781,2647.58853252,2837.87779643,2944.62459835
4 78.8008231283,122.359024188,199.275937744,292.270003362,428.726651215,568.003721752,647.969565,748.663617455,824.822523022,1017.95735173,1186.44117007,1458.68389474,1497.82440736,1625.92021991,1799.82191321,1855.93653796,1938.68865977,1945.722597,2021.29306976,2164.55489917,2265.39366866,2512.69482305,2790.35762402,2825.19930279,2878.4894317,2953.8826484
5 42.1573428011,98.331273265,279.875094007,530.396150508,570.255234004,725.887799002,793.912918978,922.243723881,1041.46621811,1210.23560363,1215.65206177,1316.68425168,1386.52436413,1624.02379947,1767.40774418,1818.08782301,1916.25844403,1934.96254082,2029.7856551,2200.62384475,2315.57199994,2380.70551109,2453.31982329,2598.04037221,2599.00164593,2739.20073304,2824.04685802,2886.5346692,2982.21800419
6 229.262454259,361.273274653,407.566858128,539.645223666,549.519584399,620.887001319,661.967423329,734.404743752,814.067385182,911.390116742,1052.76544168,1089.65720226,1232.05698052,1301.79454283,1349.8336555,1438.49756462,1558.60804308,1678.08525408,1747.97823039,1889.6946279,2042.60938081,2112.70186951,2245.9724068,2525.21310043,2693.05020758,2842.47879016
7 53.0890298207,220.714973581,285.283460179,439.820582615,473.93929168,502.27035447,533.70330238,652.841804892,826.447138005,954.437187361,1069.06161988,1134.86229086,1326.31358414,1356.69283871,1464.46149701,1631.22844376,1696.38430811,1782.46619906,1879.18964447,2120.64715737,2307.26773104,2445.06089591,2584.01567547,2699.20523392,2808.44340529,2963.07068315
8 78.7620104217,182.748871869,250.378169165,330.439451031,345.16044433,462.975582722,649.091605593,756.581868953,989.213814948,1079.03295594,1138.44059928,1205.03904959,1246.5409979,1357.53337106,1420.35299935,1501.11441853,1543.65061713,1691.6847547,1888.58447905,1964.77191968,2025.7995924,2032.54706501,2152.16973275,2405.63186993,2544.09883103,2660.32350379,2775.4116986,2904.77858133,2967.52323225
9 72.9909716276,189.157438013,394.974065476,618.488920137,860.894026408,1003.49928483,1168.58579127,1264.72065379,1352.24992028,1356.46706832,1436.53933566,1479.95949111,1576.01986211,1720.61863099,1971.62782159,2163.76857902,2234.99665983,2313.05786891,2519.51163563,2732.63898411,2924.90564456
10 2.57648094943,86.695770584,311.178071725,361.637124701,404.59198886,500.084068099,661.89660217,703.867395737,746.436225647,851.261097525,933.485014819,988.559200139,1142.45722946,1306.53073273,1386.0521854,1518.19743959,1607.38630019,1674.56563495,1754.1152049,1991.1665074,2118.24095209,2187.04119855,2287.09486679,2323.34175573,2373.39179296,2385.03350473,2493.16197926,2569.14645927,2703.40793102,2828.0173186,2896.32253263,2962.27636674
11 132.267905824,314.143770848,320.95977524,398.58162767,412.997992805,491.851745392,529.104806004,632.017340004,678.189232688,809.365665162,892.948873888,985.016014734,1063.15073292,1182.90931938,1228.90835562,1461.55873923,1533.01633884,1639.20368041,1645.87237778,1797.67480071,1969.92635227,2111.14297548,2227.3698685,2377.90489871,2511.58130399,2777.12515106,2878.77063603
12 61.7295588145,224.729671664,283.380224879,321.614140768,454.09748477,617.97112082,789.759165177,822.083115029,890.594810336,914.463247513,1067.84365702,1169.36342019,1305.1254637,1424.51730043,1459.36679372,1559.14977815,1561.8272048,1606.35062789,1682.67166074,1762.53141849,1911.64578243,1978.44447446,2072.72279495,2164.77742382,2290.9907872,2350.51597366,2402.01257022,2561.55816363,2626.4448338,2695.84842451,2744.82357044,2910.50829775
13 84.7472531775,93.104008445,153.3744779,260.118524789,309.052542225,365.313959765,561.139466206,691.294342277,746.475712674,903.53476503,1014.29751831,1083.90518528,1258.94194976,1348.97864877,1402.64756699,1502.0256694,1639.39729802,1775.20703993,1860.13111537,1889.5690935,1983.08954455,2192.5249509,2284.74017941,2333.33393535,2506.05846765,2634.0086347,2784.12916571,2805.81685938,2860.36745829,2877.11394223
14 173.560010915,239.416108067,269.191028096,271.697464053,445.5550855,483.024329582,524.978655284,694.336643268,772.2287332,1039.65335073,1095.37873491,1212.0119161,1387.11860542,1395.26805073,1492.68821236,1538.56928661,1607.97085902,1663.46208146,1707.00828481,1925.88163927,1944.08609446,2056.51215033,2168.69369238,2215.62016619,2488.05752968,2527.53778732,2638.53083402,2874.27990443
15 75.2107143531,110.246230372,316.100354032,376.887034734,579.205033463,652.230392696,691.357302512,878.422868406,924.116213342,1061.77385979,1079.38024406,1172.05667821,1210.92849541,1345.14164884,1486.89938774,1605.49420142,1813.53510922,2019.84534259,2191.17226555,2246.69440613,2323.61517628,2435.57018418,2476.50349163,2566.45252475,2680.60800392,2759.54276267,2772.71210685,2826.93747313,2901.18076833
16 50.8542025252,64.6136483093,182.498020088,253.25168421,360.935083808,442.265900784,567.677012616,660.912839613,749.006801713,801.494274302,933.932588802,1018.07752876,1153.75589846,1153.89413654,1184.3321532,1224.65558871,1348.66892731,1451.68691853,1569.02612927,1763.61289465,1863.99222356,2046.36237325,2221.22489071,2273.83594373,2356.62454271,2402.55620894,2567.39969651,2791.86878103,2865.21876187,2894.76636455
17 118.321282152,122.57568987,140.547362708,244.470015602,466.429611229,658.190818911,826.410460579,836.589250131,1032.42496629,1156.69624067,1218.49641596,1251.94377008,1282.3237954,1465.20327819,1640.90354123,1674.29933008,1778.24816744,1842.71170215,1984.00038418,1992.5631725,1993.08383784,2112.17242732,2290.86634226,2417.6565063,2427.68033916,2655.61634227,2812.01965001,2942.36655312
18 91.9677139192,175.242409055,184.525168622,281.698179726,483.952939855,532.724868666,679.10703051,727.522843664,935.186895526,1004.61003945,1114.3025748,1246.05215257,1422.90545824,1538.69105278,1680.65203676,1880.6750121,2038.02857972,2166.43878401,2359.52371824,2409.16818256,2521.02398814,2642.10348525,2769.19801055,2958.8868559
19 130.015134224,156.367314268,183.34111944,269.273486499,383.965567034,513.096785034,631.209653439,804.871970833,867.37369912,887.237391186,1006.69588757,1147.03209127,1286.957972,1398.35648399,1621.42589769,1726.64529021,1786.31784867,1871.79359075,1892.22637135,1973.83216148,2021.41502741,2127.17883905,2237.018757,2269.23129336,2574.20373049,2596.61328102,2672.31938452,2784.48551225,2791.23759456,2812.23804848,2931.24850585
20 121.281787516,238.474751003,278.418927805,314.493938284,549.950901285,687.841625745,825.852278888,957.055124715,1024.77700991,1129.05313412,1237.39737323,1500.75580153,1555.25803137,1590.81133255,1670.30680657,1746.96721341,1833.49299016,1968.27027005,2093.48174843,2149.9942211,2258.59822942,2298.59502085,2359.58786176,2513.25604622,2596.33058809,2824.54196667
21 136.848954135,237.210816963,461.389906024,508.550471844,547.582095439,711.577559125,871.469954989,1011.64427889,1096.39389274,1216.80136074,1354.68508766,1477.01279327,1548.73962948,1696.37201653,1722.78171634,1863.99761973,1975.63416111,2009.49552307,2113.46946145,2188.9095377,2193.68727004,2299.51730809,2426.84035225,2497.55967296,2532.29276592,2603.30799918,2679.71819225,2733.27972433,2837.63580012,2876.67671028,2984.32187293
22 174.67027426,342.614805661,510.201068379,614.96673659,774.378628801,878.370321538,1065.74545324,1266.16991502,1420.27911037,1470.07801222,1562.19499673,1725.26684741,1843.63147913,2019.04164511,2041.30864384,2044.51401741,2170.6796325,2172.42982755,2285.12854542,2300.20756873,2335.32842512,2586.40466523,2700.44000097,2776.23369809,2915.02662014,2983.05116207
23 81.5669887139,146.431167524,203.47667064,382.396566887,473.464956687,519.908187228,663.995964137,806.558792565,907.103905626,923.099753481,996.850156556,1183.46868367,1223.13455384,1223.42017422,1335.73042282,1383.93101055,1415.80172953,1519.91855535,1618.52205249,1660.965227,1696.38070853,1925.150652,1926.62960138,1979.60846603,2083.55066324,2197.61365863,2215.60794174,2269.9057754,2372.06011536,2474.78600261,2501.09329657,2720.88266686,2841.16850033,2856.44849924,2899.22480473,2944.95951995
24 195.77687123,314.675592147,353.851431287,391.881523512,525.677422419,616.879935018,660.928544318,726.821777194,839.689943148,859.755771981,975.857202654,995.961774539,1068.51414935,1228.94048038,1241.43830907,1427.03820876,1573.48694152,1772.06987107,1778.54699939,1969.26531867,2051.65174608,2061.6460037,2286.34271684,2350.4859962,2469.31618566,2589.35143463,2655.53762167,2760.43576285,2871.48201843
25 160.834209546,345.986640849,484.408616192,616.047980877,690.783166429,835.841541971,955.167638649,1066.54115421,1238.50408791,1365.22637062,1459.55044659,1498.43068439,1631.00959832,1781.66511158,1894.98889272,1948.06403644,2172.06857759,2288.99053543,2355.30697684,2393.43122534,2526.62186059,2527.80981578,2608.47687195,2658.84793637,2752.61337198,2902.35203317,2930.4115343
26 115.940817665,157.663070687,180.401091807,211.320170857,276.409613102,282.740839352,321.268131715,488.073807139,556.493346319,746.765227655,961.763471859,1014.08732336,1141.07603631,1212.9886882,1351.01672776,1479.37251042,1489.06979565,1565.99119753,1607.90775908,1646.53166818,1749.53946555,1950.48852408,2015.25177299,2028.56352895,2137.79374801,2352.65841351,2363.27104315,2469.26042764,2476.20086036,2496.79711519,2534.05846289,2534.84757228,2651.26774271,2770.25777891,2873.75509549,2970.92337545
27 125.000215494,131.173334365,316.928833405,444.345549079,688.262210073,713.198777661,779.751996804,877.966936065,963.618979954,1018.12084562,1122.34805299,1151.66364898,1246.78841111,1356.6264649,1515.20174279,1579.0394365,1645.38273136,1710.65481319,1732.20874624,1802.94405274,1905.25939291,2054.34335683,2153.08569634,2243.92501506,2349.44173685,2422.94079958,2564.8306702,2670.75653884,2857.14699655
28 106.665699819,146.41989082,246.321934014,312.058791677,411.192931047,464.611426085,512.157168795,610.793230596,794.667436621,796.506015873,858.526932241,926.479818496,974.376966566,1056.61255737,1180.29813759,1202.66777668,1283.80883972,1307.04668513,1422.01036058,1533.44944718,1551.09315875,1610.08887854,1732.12564344,1817.91669151,1923.09284901,1966.12680339,2111.45632811,2135.80499653,2164.42298531,2402.7965781,2488.3778762,2600.48597829,2725.53115252,2806.77449522
29 124.9959184,136.112707214,201.977863937,295.999241243,394.805951419,459.803657029,494.067983219,606.17804651,630.312380504,701.992736851,758.710658505,947.592568979,1119.23778771,1172.61643423,1199.02061419,1360.69790569,1505.95878474,1555.03158222,1575.39074458,1689.83444569,1782.13446581,1957.28297242,2022.77565431,2128.53330994,2157.63725127,2268.36747363,2377.60050915,2402.30123929,2559.05595229,2723.78025845,2806.86364594,2945.15236185
30 36.8598200159,61.0052834633,89.8613310361,186.972770553,308.834264189,390.660291357,470.510212257,520.983258773,569.333838231,649.016685389,768.615120316,863.95347746,999.364812294,1131.61421363,1239.7024116,1351.30173614,1619.12223633,1739.64440275,1805.62217465,1906.16357922,1980.07759594,2033.30947697,2171.15718427,2343.6906323,2561.33497079,2572.93195983,2741.85355662,2775.33868629,2933.57758098
31 66.7889461488,80.0164884768,229.389455526,292.654612213,439.816733496,612.687915378,698.698872412,846.93852963,1013.51375706,1034.38097738,1122.6915431,1223.59743605,1290.92452538,1460.54833024,1638.80606383,1730.66470353,1816.8757369,1943.84570056,2113.17049933,2163.24614464,2276.80055234,2317.59767814,2484.69609032,2495.20522903,2520.67333203,2569.7520044,2716.1798533,2908.07416033
32 144.578598547,339.070849008,368.139145224,490.194504273,587.59754977,653.200626998,709.828281188,816.880682343,961.462775373,1027.84031709,1231.03159879,1352.54647005,1429.43455991,1438.6540693,1540.48428019,1663.97131804,1806.19681588,1948.2895948,2085.99957665,2261.80829092,2314.60402576,2423.61676606,2550.90557288,2725.54227258,2856.61646286,2995.25458458
33 103.768729072,167.959440235,279.341419222,370.201376701,508.577944348,688.463625267,754.934818616,903.849726557,966.027739981,1027.48543278,1093.56326198,1136.68471969,1149.42208855,1335.48460585,1360.52914063,1484.28928231,1538.11117759,1618.75407801,1657.98695537,1771.5111512,1815.24226237,1879.71582975,1972.19508391,1989.5759316,2072.12100645,2137.29016913,2206.64121043,2279.37044803,2451.78106843,2589.60928781,2776.55633539,2890.86907517,2968.63860516
34 129.302880732,262.912144929,358.85162163,446.386913672,578.093759287,677.845432367,743.487729092,906.800973567,1089.95971398,1142.68769564,1275.99992277,1361.10220203,1361.96456864,1442.57181688,1692.87149227,1881.88718842,1996.49512809,2088.25808342,2259.26410762,2353.39738704,2464.7509594,2657.59272091,2763.9451969,2894.17634771,2923.77802455
35 70.6056249,132.613555287,323.169784962,498.037257341,579.37829463,716.827818358,819.478069454,853.668213147,936.113191976,1020.33663806,1229.4525484,1406.15895171,1475.36829759,1476.34975549,1613.96788085,1751.51135792,1944.88229797,2001.67135641,2131.78270035,2243.70453091,2265.78908185,2427.25923351,2462.54433046,2730.72766383,2830.18570351,2840.93606517,2943.73513584
36 166.161754964,305.34312196,324.534723788,409.255522476,508.120291193,516.667709535,527.045452252,628.062164133,668.156349309,762.477022235,878.207963492,907.759941979,1030.07472481,1041.07398709,1243.28176062,1280.56029819,1360.07141955,1382.72447131,1476.05841958,1633.29725469,1655.37336185,1806.45692068,1895.04567802,1906.56926977,1944.07999527,2061.25283632,2146.91736542,2278.4998854,2360.87440569,2553.35859708,2738.00086643,2845.75299228,2912.24610333,2916.284927
37 142.274755772,282.372741076,423.120140307,632.053342732,633.247258036,832.390807815,893.314233392,1023.1369851,1097.87450247,1113.06263666,1128.13380432,1228.18364915,1421.55681406,1460.3718534,1534.8279067,1694.42972965,1864.70371561,1897.25211894,1940.99418881,2024.8553273,2029.45500773,2110.78907272,2328.18015821,2351.34726254,2380.71856178,2501.07065115,2652.98457676,2802.56658523,2946.71351945
38 148.97745592,186.934510842,192.059077735,250.773644148,272.765924446,335.611873612,571.055936839,628.551548324,658.828720079,815.877669805,1063.10806692,1101.37427811,1115.56613902,1194.18637095,1352.2259543,1370.77258623,1488.68584628,1501.10353424,1566.22471884,1570.01852415,1615.56736896,1793.58210388,1914.7997406,1979.51122353,2060.87443938,2188.23235498,2297.45908889,2405.25191588,2475.94742812,2505.82518557,2672.03241404,2752.88800927,2858.29450836
39 170.212077768,317.080526903,351.065982504,546.451583601,665.552186363,756.269142897,919.770675209,997.576698624,1000.53009394,1103.27645835,1204.07307763,1297.28359392,1347.8020273,1515.6472598,1605.46568588,1776.42495182,1849.66050174,1967.80090252,2090.28139081,2168.65888335,2188.62144169,2355.66506795,2423.70552031,2547.16045648,2669.00583356,2736.81990907,2776.0379616,2917.09074691
40 115.809221814,285.877033776,484.605778572,714.046613074,771.052960436,819.124883956,1025.20523644,1097.70776706,1195.48269914,1309.80271942,1413.60571367,1456.7447519,1593.06772539,1801.36996212,1977.63312452,2043.84887685,2165.20114786,2178.57745945,2253.42335277,2359.92413581,2371.47828675,2402.9462666,2502.62903245,2615.11631395,2703.49796947,2710.81751317,2925.73645537
41 134.626966111,325.912064475,477.025689725,611.988739979,688.303828564,855.052832421,965.703457064,1114.42314171,1376.86588019,1464.65697829,1634.52695273,1761.27293573,1942.26804951,2088.01225101,2208.11982748,2238.51828758,2361.07508218,2548.03371806,2710.64818294,2743.55062975,2831.82765802,2843.2264621,2844.97712349,2899.25321469,2994.2133391
42 92.3125087636,153.96372647,168.095835816,342.071912039,545.205884946,613.495985761,777.106729356,893.778431511,980.379956887,1136.27792442,1219.6163816,1293.72130483,1395.88618975,1563.89914204,1717.34560732,1770.14096486,1856.29642927,1930.31893742,2035.0830656,2046.90067919,2114.06451549,2135.83358522,2233.88247309,2324.13049241,2360.97300679,2495.17856205,2716.38522109,2878.3999868,2920.97672376
43 72.8122313689,212.237892921,327.782635382,463.164101249,546.656924247,641.239536316,838.197616562,973.987928912,1112.48994429,1223.97143792,1265.50288525,1336.99018578,1456.72395406,1484.87221383,1488.1036283,1626.00693689,1740.50042343,1829.45690599,1990.55621556,2019.62496995,2184.71192668,2401.89024804,2461.35594717,2609.0524114,2668.06634582,2774.94857941,2831.51337502,2849.75218056,2876.10897595
44 2.9389542266,120.435724413,232.54559454,238.642158385,321.81222073,366.756833777,536.224152677,662.064371797,744.140051881,842.349254338,939.668854148,1002.35125271,1010.65710708,1112.20164457,1253.28320698,1469.93422515,1507.77396421,1586.21789591,1694.22912358,1720.0542661,1799.33675821,1862.25287244,2046.32066168,2062.17037534,2298.31381362,2422.43413485,2570.82667025,2619.8423859,2802.69179039,2943.70592567,2965.82322136
45 176.746132413,319.391847222,364.940927561,378.599597246,473.927128428,572.214432232,722.140125612,731.589578178,852.190349601,859.025677453,1088.68597453,1156.54808114,1245.73378979,1365.56932148,1407.54509017,1467.76044111,1593.39990036,1742.39024273,1747.70112175,1902.29515502,1974.74387802,2119.34187976,2273.82358591,2396.39701166,2490.44705867,2647.73785107,2791.97826486,2821.37084523,2892.95378354
46 18.8511412055,167.767669386,221.443392386,334.356290335,420.425546518,546.072507555,599.214438498,660.557288016,748.882074453,751.284799172,878.469083603,1058.10172193,1123.03842896,1237.01471484,1279.30706141,1334.92727414,1488.34522851,1563.85374462,1618.12272607,1897.27341928,2077.35919641,2154.79889395,2354.09018442,2395.84421716,2438.73997515,2449.84856256,2516.32080622,2626.08274651,2731.56371638,2848.31162326,2920.07886049,2985.49626442
47 190.798441554,250.92278206,317.093719288,403.81180968,528.181339102,541.095545839,587.40972462,729.465686819,838.413954365,906.310573921,1013.83048548,1130.38887863,1235.11326597,1373.63208371,1414.64370902,1557.19291969,1609.72790461,1708.44362112,1749.85726134,1763.75016857,1853.77929007,1900.03333247,2063.34640715,2154.84916143,2251.76418832,2417.0979142,2504.60666222,2527.8763622,2561.97499302,2665.30458929,2815.30825493,2960.55642547,2989.68177727
48 69.5615671663,189.24284834,363.294910103,493.641509189,691.938067393,871.638670386,992.415442247,1068.4512493,1156.5192598,1304.95518086,1413.84495779,1430.86600947,1545.72279946,1658.66000769,1727.91817882,1889.6596302,2090.55164694,2304.78846222,2420.27246426,2485.29528716,2539.96552071,2577.28039357,2647.20244498,2652.71640105,2772.67006915,2817.8056126,2926.55869146
49 127.079855168,225.67823936,249.645281124,350.4674267,364.998614912,393.433821804,420.30275003,440.586537768,539.729482327,637.907465187,724.219364375,743.275431242,879.861111615,976.986413823,1004.84691632,1204.64468806,1302.81219428,1421.1179657,1475.42333021,1615.54164924,1759.88372386,1945.26900194,2076.05438194,2169.75416823,2291.99486318,2310.2464876,2321.24108921,2383.52501265,2388.34061196,2433.02561245,2475.13730446,2622.6733172,2646.81451402,2833.51731206
