edge_type_id target_query source_query delay dynamics_params template
100 level_of_detail=='biophysical'&ei=='i' ei=='i' 2.0 GABA_InhToInh.json Exp2Syn
101 level_of_detail=='intfire'&ei=='i' ei=='i' 2.0 instanteneousInh.json NULL
102 level_of_detail=='biophysical'&ei=='e' ei=='i' 2.0 GABA_InhToExc.json Exp2Syn
103 level_of_detail=='intfire'&ei=='e' ei=='i' 2.0 instanteneousInh.json NULL
104 pop_name=='PV1' ei=='e' 2.0 AMPA_ExcToInh.json Exp2Syn
105 pop_name=='PV2' ei=='e' 2.0 AMPA_ExcToInh.json Exp2Syn
106 pop_name=='LIF_inh' ei=='e' 2.0 instanteneousExc.json NULL
107 pop_name=='Scnn1a' ei=='e' 2.0 AMPA_ExcToExc.json Exp2Syn
108 pop_name=='Rorb' ei=='e' 2.0 AMPA_ExcToExc.json Exp2Syn
109 pop_name=='Nr5a1' ei=='e' 2.0 AMPA_ExcToExc.json Exp2Syn
110 pop_name=='LIF_exc' ei=='e' 2.0 instanteneousExc.json NULL
