node_id node_type_id x_soma y_soma z_soma rotation_angle_yaxis pop_name ei location tuning_angle
0 395830185 28.753 -364.868 -161.705 3.55501593499933 Scnn1a e VisL4 0.0
1 395830185 48.753 -344.868 -141.705 3.55501593499933 Scnn1a e VisL4 25.0
2 314804042 241.092 -349.263 146.916 3.509342287236537 Rorb e VisL4 50.0
3 314804042 201.092 -399.263 126.916 3.509342287236537 Rorb e VisL4 75.0
4 318808427 320.498 -351.259 20.273 0.7220282769491285 Nr5a1 e VisL4 100.0
5 318808427 310.498 -371.259 10.273 0.7220282769491285 Nr5a1 e VisL4 125.0
6 330080937 122.373 -352.417 -216.748 2.920430432458467 PV1 i VisL4 NA
7 330080937 102.373 -342.417 -206.748 2.920430432458467 PV1 i VisL4 NA
8 318331342 350.321 -372.535 -18.282 5.04333679817877 PV2 i VisL4 NA
9 318331342 360.321 -371.535 -12.282 5.04333679817877 PV2 i VisL4 NA
10 100000101 -243.04 -342.352 -665.666 5.118014910660594 LIF_exc e VisL4 150.0
11 100000101 -233.04 -332.352 -675.666 5.118014910660594 LIF_exc e VisL4 175.0
12 100000102 211.04 -321.333 -631.593 4.566091550694056 LIF_inh i VisL4 NA
13 100000102 218.04 -327.333 -635.593 4.566091550694056 LIF_inh i VisL4 NA
