edge_type_id target_query source_query target_network source_network weight_max weight_function weight_sigma distance_range target_sections delay params_file synapse_model
0 level_of_detail='biophysical'&ei='i' ei='i' V1/L4 V1/L4 -0.02 wmax NA "[0.0, 1e+20]" "[""somatic"", ""basal""]" 2.0 InhToInh.json static_synapse
1 level_of_detail='intfire'&ei='i' ei='i' V1/L4 V1/L4 -0.225 wmax NA NA NA 2.0 InhToInh.json static_synapse
2 level_of_detail='biophysical'&ei='e' ei='i' V1/L4 V1/L4 -0.18 wmax NA "[0.0, 50.0]" "['somatic', 'basal', 'apical']" 2.0 InhToExc.json static_synapse
3 level_of_detail='intfire'&ei='e' ei='i' V1/L4 V1/L4 -0.009 wmax NA NA NA 2.0 InhToExc.json static_synapse
4 pop_name='PV1' ei='e' V1/L4 V1/L4 0.00035 wmax NA "[0.0, 1e+20]" "['somatic', 'basal']" 2.0 ExcToInh.json static_synapse
5 pop_name='PV2' ei='e' V1/L4 V1/L4 0.00027 wmax NA "[0.0, 1e+20]" "['somatic', 'basal']" 2.0 ExcToInh.json static_synapse
6 pop_name='LIF_inh' ei='e' V1/L4 V1/L4 0.0043 wmax NA NA NA 2.0 ExcToInh.json static_synapse
7 pop_name='Scnn1a' ei='e' V1/L4 V1/L4 6.4e-05 gaussianLL 50.0 "[30.0, 150.0]" "['basal', 'apical']" 2.0 ExcToExc.json static_synapse
8 pop_name='Rorb' ei='e' V1/L4 V1/L4 5.5e-05 gaussianLL 50.0 "[30.0, 150.0]" "['basal', 'apical']" 2.0 ExcToExc.json static_synapse
9 pop_name='Nr5a1' ei='e' V1/L4 V1/L4 7.2e-05 gaussianLL 50.0 "[30.0, 150.0]" "['basal', 'apical']" 2.0 ExcToExc.json static_synapse
10 pop_name='LIF_exc' ei='e' V1/L4 V1/L4 0.0019 gaussianLL 50.0 NA NA 2.0 ExcToExc.json static_synapse
