edge_type_id target_query source_query weight_max weight_function weight_sigma distance_range target_sections delay params_file set_params_function
0 level_of_detail=='biophysical'&ei=='i' ei=='i' 0.0002 wmax NA "[0.0, 1e+20]" "['somatic', 'basal']" 2.0 GABA_InhToInh.json exp2syn
1 level_of_detail=='intfire'&ei=='i' ei=='i' 0.00225 wmax NA NA NA 2.0 instanteneousInh.json NA
2 level_of_detail=='biophysical'&ei=='e' ei=='i' 0.00018 wmax NA "[0.0, 50.0]" "['somatic', 'basal', 'apical']" 2.0 GABA_InhToExc.json exp2syn
3 level_of_detail=='intfire'&ei=='e' ei=='i' 0.009 wmax NA NA NA 2.0 instanteneousInh.json NA
4 pop_name=='PV1' ei=='e' 0.00035 wmax NA "[0.0, 1e+20]" "['somatic', 'basal']" 2.0 AMPA_ExcToInh.json exp2syn
5 pop_name=='PV2' ei=='e' 0.00027 wmax NA "[0.0, 1e+20]" "['somatic', 'basal']" 2.0 AMPA_ExcToInh.json exp2syn
6 pop_name=='LIF_inh' ei=='e' 0.0043 wmax NA NA NA 2.0 instanteneousExc.json NA
7 pop_name=='Scnn1a' ei=='e' 6.4e-05 gaussianLL 50.0 "[30.0, 150.0]" "['basal', 'apical']" 2.0 AMPA_ExcToExc.json exp2syn
8 pop_name=='Rorb' ei=='e' 5.5e-05 gaussianLL 50.0 "[30.0, 150.0]" "['basal', 'apical']" 2.0 AMPA_ExcToExc.json exp2syn
9 pop_name=='Nr5a1' ei=='e' 7.2e-05 gaussianLL 50.0 "[30.0, 150.0]" "['basal', 'apical']" 2.0 AMPA_ExcToExc.json exp2syn
10 pop_name=='LIF_exc' ei=='e' 0.0019 gaussianLL 50.0 NA NA 2.0 instanteneousExc.json NA
